薬価基準収載医薬品コード,成分名,品名,各先発医薬品の後発医薬品の有無に関する情報,収載年月日,経過措置による使用期限,備考,診療報酬における加算等の算定対象から除外する品目
2491001F5013,カリジノゲナーゼ,カリジノゲナーゼ２５単位錠,3,,,,
2491001F5056,カリジノゲナーゼ,カルナクリン錠２５,,,,,
2491001F6010,カリジノゲナーゼ,カリジノゲナーゼ５０単位錠,3,,,,
2491001F6060,カリジノゲナーゼ,カルナクリン錠５０,,,,,
2491001F6265,カリジノゲナーゼ,カリジノゲナーゼ錠５０単位「フジモト」,3,,,,
2491001M3044,カリジノゲナーゼ,カルナクリンカプセル２５,,,,,
2491001M3079,カリジノゲナーゼ,カリジノゲナーゼカプセル２５単位「日医工」,3,,,,
2499001F1032,シクロフェニル,セキソビット錠１００ｍｇ,1,,,,
2499003M1065,メピチオスタン,チオデロンカプセル５ｍｇ,1,,,,
2499005F1030,ジノプロストン,プロスタグランジンＥ２錠０．５ｍｇ「科研」,1,,,,
2499006M1026,ミトタン,オペプリム,1,,,,
2499007F1021,ダナゾール,ボンゾール錠１００ｍｇ,1,,,,
2499007F2028,ダナゾール,ボンゾール錠２００ｍｇ,1,,,,
2499008F1034,トリロスタン,デソパン錠６０ｍｇ,1,,,,
2499009F1012,クロミフェンクエン酸塩,クロミフェンクエン酸塩錠,,,,,
2499010F1015,ジエノゲスト,ジエノゲスト１ｍｇ錠,3,,,,
2499010F1023,ジエノゲスト,ディナゲスト錠１ｍｇ,2,,,,
2499010F1031,ジエノゲスト,ジエノゲスト錠１ｍｇ「Ｆ」,3,,,,
2499010F1040,ジエノゲスト,ジエノゲスト錠１ｍｇ「ＪＧ」,3,,,,
2499010F1058,ジエノゲスト,ジエノゲスト錠１ｍｇ「ＫＮ」,3,,,,
2499010F1066,ジエノゲスト,ジエノゲスト錠１ｍｇ「ＭＹＬ」,3,,,,
2499010F1082,ジエノゲスト,ジエノゲスト錠１ｍｇ「キッセイ」,3,,,,
2499010F1090,ジエノゲスト,ジエノゲスト錠１ｍｇ「サワイ」,3,,,,
2499010F1104,ジエノゲスト,ジエノゲスト錠１ｍｇ「トーワ」,3,,,,
2499010F1112,ジエノゲスト,ジエノゲスト錠１ｍｇ「ニプロ」,3,,,,
2499010F1120,ジエノゲスト,ジエノゲスト錠１ｍｇ「モチダ」,3,,,,
2499010F2020,ジエノゲスト,ディナゲストＯＤ錠１ｍｇ,2,,,,
2499010F2038,ジエノゲスト,ジエノゲストＯＤ錠１ｍｇ「ＫＮ」,3,,,,
2499010F2046,ジエノゲスト,ジエノゲストＯＤ錠１ｍｇ「モチダ」,3,,,,
2499010F2054,ジエノゲスト,ジエノゲストＯＤ錠１ｍｇ「キッセイ」,3,,,,
2499010F2062,ジエノゲスト,ジエノゲストＯＤ錠１ｍｇ「トーワ」,3,,,,
2499010F2070,ジエノゲスト,ジエノゲストＯＤ錠１ｍｇ「Ｆ」,3,,,,
2499010F3026,ジエノゲスト,ディナゲスト錠０．５ｍｇ,1,,,,
2499011F1028,デュタステリド,デュタステリド錠０．５ｍｇＡＶ「ＤＳＥＰ」,3,,,,
2499011F1036,デュタステリド,デュタステリド錠０．５ｍｇＡＶ「ＮＳ」,3,,,,
2499011F1044,デュタステリド,デュタステリド錠０．５ｍｇＡＶ「ＹＤ」,3,,,,
2499011F1052,デュタステリド,デュタステリド錠０．５ｍｇＡＶ「明治」,3,,,,
2499011M1019,デュタステリド,デュタステリド０．５ｍｇカプセル,3,,,,
2499011M1027,デュタステリド,アボルブカプセル０．５ｍｇ,2,,,,
2499011M1035,デュタステリド,デュタステリドカプセル０．５ｍｇＡＶ「ＡＦＰ」,3,,,,
2499011M1043,デュタステリド,デュタステリドカプセル０．５ｍｇＡＶ「ＢＭＤ」,3,,,,
2499011M1051,デュタステリド,デュタステリドカプセル０．５ｍｇＡＶ「ＤＳＥＰ」,3,,,,
2499011M1060,デュタステリド,デュタステリドカプセル０．５ｍｇＡＶ「ＪＧ」,3,,,,
2499011M1078,デュタステリド,デュタステリドカプセル０．５ｍｇＡＶ「ＴＣ」,3,,,,
2499011M1094,デュタステリド,デュタステリドカプセル０．５ｍｇＡＶ「サワイ」,3,,,,
2499011M1108,デュタステリド,デュタステリドカプセル０．５ｍｇＡＶ「武田テバ」,3,,,,
2499011M1116,デュタステリド,デュタステリドカプセル０．５ｍｇＡＶ「トーワ」,3,,,,
2499011M1124,デュタステリド,デュタステリドカプセル０．５ｍｇＡＶ「日医工」,3,,,,
2499011M1132,デュタステリド,デュタステリドカプセル０．５ｍｇＡＶ「ニプロ」,3,,,,
2499012F2029,トルバプタン,サムスカＯＤ錠３０ｍｇ,1,,,,
2499013F1027,レルゴリクス,レルミナ錠４０ｍｇ,1,,,,
2499014F1021,セマグルチド（遺伝子組換え）,リベルサス錠３ｍｇ,1,,,,
2499014F2028,セマグルチド（遺伝子組換え）,リベルサス錠７ｍｇ,1,,,,
2499014F3024,セマグルチド（遺伝子組換え）,リベルサス錠１４ｍｇ,1,,,,
2499015F1026,オシロドロスタットリン酸塩,イスツリサ錠１ｍｇ,1,,,,
2499015F2022,オシロドロスタットリン酸塩,イスツリサ錠５ｍｇ,1,,,,
2519100M1110,グルタミン酸・アラニン・アミノ酢酸配合剤,パラプロスト配合カプセル,1,,R5.3.31まで,,
2531001F1015,エルゴメトリンマレイン酸塩,エルゴメトリンマレイン酸塩錠,,,,,
2531002F1010,メチルエルゴメトリンマレイン酸塩,メチルエルゴメトリンマレイン酸塩錠,,,,,
2531002F1214,メチルエルゴメトリンマレイン酸塩,パルタンＭ錠０．１２５ｍｇ,,,,,
2531002F1249,メチルエルゴメトリンマレイン酸塩,メチルエルゴメトリン錠０．１２５ｍｇ「あすか」,,,,,
2559001M1104,トリベノシド,ヘモクロンカプセル２００ｍｇ,1,,,,
2559002X1032,静脈血管叢エキス,ヘモリンガル舌下錠０．１８ｍｇ,,,,,
2559003F1040,メリロートエキス,タカベンス錠２５ｍｇ,3,,,,
2559101X1036,ブロメライン・トコフェロール酢酸エステル,ヘモナーゼ配合錠,,,,,
2590001F1024,ウラジロガシエキス,ウロカルン錠２２５ｍｇ,1,,,,
2590002F1010,フラボキサート塩酸塩,フラボキサート塩酸塩２００ｍｇ錠,3,,,,1
2590002F1371,フラボキサート塩酸塩,ブラダロン錠２００ｍｇ,2,,,,1
2590003F1023,セルニチンポーレンエキス,セルニルトン錠,1,,,,
2590004F1010,リトドリン塩酸塩,リトドリン塩酸塩５ｍｇ錠,3,,,,
2590004F1192,リトドリン塩酸塩,ウテメリン錠５ｍｇ,2,,,,
2590004F1354,リトドリン塩酸塩,リトドリン塩酸塩錠５ｍｇ「あすか」,★,,,,
2590005F1014,オキシブチニン塩酸塩,オキシブチニン塩酸塩２ｍｇ錠,3,,,,
2590005F1022,オキシブチニン塩酸塩,ポラキス錠２,2,,,,
2590005F2010,オキシブチニン塩酸塩,オキシブチニン塩酸塩３ｍｇ錠,3,,,,
2590005F2029,オキシブチニン塩酸塩,ポラキス錠３,2,,,,
2590005F3017,オキシブチニン塩酸塩,オキシブチニン塩酸塩１ｍｇ錠,3,,,,
2590005F3025,オキシブチニン塩酸塩,ポラキス錠１,2,,,,
2590007C1025,プロピベリン塩酸塩,バップフォー細粒２％,1,,,,
2590007F1013,プロピベリン塩酸塩,プロピベリン塩酸塩１０ｍｇ錠,3,,,,1
2590007F1021,プロピベリン塩酸塩,バップフォー錠１０,2,,,,1
2590007F1250,プロピベリン塩酸塩,プロピベリン塩酸塩錠１０ｍｇ「日医工」,3,,,,1
2590007F1293,プロピベリン塩酸塩,プロピベリン塩酸塩錠１０ｍｇ「ＭＥＤ」,3,,,,1
2590007F1307,プロピベリン塩酸塩,プロピベリン塩酸塩錠１０ｍｇ「トーワ」,3,,,,1
2590007F1323,プロピベリン塩酸塩,プロピベリン塩酸塩錠１０ｍｇ「あすか」,3,,,,1
2590007F2010,プロピベリン塩酸塩,プロピベリン塩酸塩２０ｍｇ錠,3,,,,1
2590007F2028,プロピベリン塩酸塩,バップフォー錠２０,2,,,,1
2590007F2060,プロピベリン塩酸塩,塩酸プロピベリン錠２０ｍｇ「アメル」,3,,,,1
2590007F2184,プロピベリン塩酸塩,塩酸プロピベリン錠２０ｍｇ「ＳＷ」,3,,,,1
2590007F2206,プロピベリン塩酸塩,プロピベリン塩酸塩錠２０ｍｇ「タナベ」,3,,,,1
2590007F2214,プロピベリン塩酸塩,プロピベリン塩酸塩錠２０ｍｇ「Ｆ」,3,,,,1
2590007F2222,プロピベリン塩酸塩,プロピベリン塩酸塩錠２０ｍｇ「タカタ」,3,,,,1
2590007F2249,プロピベリン塩酸塩,プロピベリン塩酸塩錠２０ｍｇ「日医工」,3,,,,1
2590007F2257,プロピベリン塩酸塩,プロピベリン塩酸塩錠２０ｍｇ「ＹＤ」,3,,,,1
2590007F2273,プロピベリン塩酸塩,プロピベリン塩酸塩錠２０ｍｇ「ＮＳ」,3,,,,1
2590007F2281,プロピベリン塩酸塩,プロピベリン塩酸塩錠２０ｍｇ「ＭＥＤ」,3,,,,1
2590007F2290,プロピベリン塩酸塩,プロピベリン塩酸塩錠２０ｍｇ「トーワ」,3,,,,1
2590007F2311,プロピベリン塩酸塩,プロピベリン塩酸塩錠２０ｍｇ「あすか」,3,,,,1
2590007F2320,プロピベリン塩酸塩,プロピベリン塩酸塩錠２０ｍｇ「武田テバ」,3,,R4.9.30まで,,1
2590007F2346,プロピベリン塩酸塩,プロピベリン塩酸塩錠２０ｍｇ「ＮＩＧ」,3,,,,1
2590008F1018,タムスロシン塩酸塩,タムスロシン塩酸塩０．１ｍｇ口腔内崩壊錠,3,,,,
2590008F1026,タムスロシン塩酸塩,ハルナールＤ錠０．１ｍｇ,2,,,,
2590008F1050,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．１ｍｇ「ケミファ」,3,,,,
2590008F1077,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．１ｍｇ「日医工」,3,,,,
2590008F1085,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．１ｍｇ「日新」,3,,,,
2590008F1093,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．１ｍｇ「明治」,3,,,,
2590008F1123,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．１ｍｇ「サワイ」,3,,,,
2590008F1131,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．１ｍｇ「ＣＨ」,3,,,,
2590008F1140,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．１ｍｇ「ＴＹＫ」,3,,,,
2590008F1166,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．１ｍｇ「トーワ」,3,,,,
2590008F1174,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．１ｍｇ「ＫＮ」,3,,,,
2590008F1182,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．１ｍｇ「あすか」,3,,,,
2590008F2014,タムスロシン塩酸塩,タムスロシン塩酸塩０．２ｍｇ口腔内崩壊錠,3,,,,
2590008F2022,タムスロシン塩酸塩,ハルナールＤ錠０．２ｍｇ,2,,,,
2590008F2057,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．２ｍｇ「ケミファ」,3,,,,
2590008F2073,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．２ｍｇ「日医工」,3,,,,
2590008F2081,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．２ｍｇ「日新」,3,,,,
2590008F2120,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．２ｍｇ「サワイ」,3,,,,
2590008F2138,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．２ｍｇ「ＣＨ」,3,,,,
2590008F2146,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．２ｍｇ「ＴＹＫ」,3,,,,
2590008F2162,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．２ｍｇ「トーワ」,3,,,,
2590008F2170,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．２ｍｇ「ＫＮ」,3,,,,
2590008F2189,タムスロシン塩酸塩,タムスロシン塩酸塩ＯＤ錠０．２ｍｇ「あすか」,3,,,,
2590008N1128,タムスロシン塩酸塩,タムスロシン塩酸塩カプセル０．１ｍｇ「ＭＥＤ」,3,,,,
2590008N1179,タムスロシン塩酸塩,タムスロシン塩酸塩カプセル０．１ｍｇ「サワイ」,3,,,,
2590008N1195,タムスロシン塩酸塩,タムスロシン塩酸塩カプセル０．１ｍｇ「日医工」,3,,,,
2590008N1209,タムスロシン塩酸塩,タムスロシン塩酸塩カプセル０．１ｍｇ「ケミファ」,3,,,,
2590008N1225,タムスロシン塩酸塩,タムスロシン塩酸塩カプセル０．１ｍｇ「武田テバ」,3,,,,
2590008N2124,タムスロシン塩酸塩,タムスロシン塩酸塩カプセル０．２ｍｇ「ＭＥＤ」,3,,,,
2590008N2183,タムスロシン塩酸塩,タムスロシン塩酸塩カプセル０．２ｍｇ「サワイ」,3,,,,
2590008N2191,タムスロシン塩酸塩,タムスロシン塩酸塩カプセル０．２ｍｇ「日医工」,3,,,,
2590008N2205,タムスロシン塩酸塩,タムスロシン塩酸塩カプセル０．２ｍｇ「ケミファ」,3,,,,
2590008N2221,タムスロシン塩酸塩,タムスロシン塩酸塩カプセル０．２ｍｇ「武田テバ」,3,,,,
2590009F1012,ナフトピジル,ナフトピジル２５ｍｇ錠,3,,,,
2590009F1039,ナフトピジル,フリバス錠２５ｍｇ,2,,,,
2590009F2019,ナフトピジル,ナフトピジル５０ｍｇ錠,3,,,,
2590009F2035,ナフトピジル,フリバス錠５０ｍｇ,2,,,,
2590009F2060,ナフトピジル,ナフトピジル錠５０ｍｇ「ＪＧ」,3,,,,
2590009F2124,ナフトピジル,ナフトピジル錠５０ｍｇ「タカタ」,3,,,,
2590009F2132,ナフトピジル,ナフトピジル錠５０ｍｇ「トーワ」,3,,,,
2590009F3015,ナフトピジル,ナフトピジル７５ｍｇ錠,3,,,,
2590009F3023,ナフトピジル,フリバス錠７５ｍｇ,2,,,,
2590009F3058,ナフトピジル,ナフトピジル錠７５ｍｇ「ＪＧ」,3,,,,
2590009F3090,ナフトピジル,ナフトピジル錠７５ｍｇ「あすか」,3,,,,
2590009F3120,ナフトピジル,ナフトピジル錠７５ｍｇ「トーワ」,3,,,,
2590009F3147,ナフトピジル,ナフトピジル錠７５ｍｇ「ファイザー」,3,,R5.3.31まで,,
2590009F3155,ナフトピジル,ナフトピジル錠７５ｍｇ「ＶＴＲＳ」,3,20220420,,,
2590009F4011,ナフトピジル,ナフトピジル５０ｍｇ口腔内崩壊錠,3,,,,
2590009F4020,ナフトピジル,フリバスＯＤ錠５０ｍｇ,2,,,,
2590009F4038,ナフトピジル,ナフトピジルＯＤ錠５０ｍｇ「ＤＳＥＰ」,3,,,,
2590009F4062,ナフトピジル,ナフトピジルＯＤ錠５０ｍｇ「ＪＧ」,3,,,,
2590009F4127,ナフトピジル,ナフトピジルＯＤ錠５０ｍｇ「ケミファ」,3,,,,
2590009F4160,ナフトピジル,ナフトピジルＯＤ錠５０ｍｇ「テバ」,3,,,,
2590009F4224,ナフトピジル,ナフトピジルＯＤ錠５０ｍｇ「トーワ」,3,,,,
2590009F5018,ナフトピジル,ナフトピジル７５ｍｇ口腔内崩壊錠,3,,,,
2590009F5026,ナフトピジル,フリバスＯＤ錠７５ｍｇ,2,,,,
2590009F5034,ナフトピジル,ナフトピジルＯＤ錠７５ｍｇ「ＤＳＥＰ」,3,,,,
2590009F5069,ナフトピジル,ナフトピジルＯＤ錠７５ｍｇ「ＪＧ」,3,,,,
2590009F5123,ナフトピジル,ナフトピジルＯＤ錠７５ｍｇ「ケミファ」,3,,,,
2590009F5166,ナフトピジル,ナフトピジルＯＤ錠７５ｍｇ「テバ」,3,,,,
2590009F5212,ナフトピジル,ナフトピジルＯＤ錠７５ｍｇ「フソー」,3,,,,
2590009F5220,ナフトピジル,ナフトピジルＯＤ錠７５ｍｇ「トーワ」,3,,,,
2590009F6014,ナフトピジル,ナフトピジル２５ｍｇ口腔内崩壊錠,3,,,,
2590009F6022,ナフトピジル,フリバスＯＤ錠２５ｍｇ,2,,,,
2590010F1015,シロドシン,シロドシン２ｍｇ錠,3,,,,
2590010F1023,シロドシン,ユリーフ錠２ｍｇ,2,,,,
2590010F2011,シロドシン,シロドシン４ｍｇ錠,3,,,,
2590010F2020,シロドシン,ユリーフ錠４ｍｇ,2,,,,
2590010F2038,シロドシン,シロドシン錠４ｍｇ「ＤＳＥＰ」,3,,,,
2590010F2046,シロドシン,シロドシン錠４ｍｇ「ＪＧ」,3,,,,
2590010F2054,シロドシン,シロドシン錠４ｍｇ「ＫＭＰ」,3,,,,
2590010F2070,シロドシン,シロドシン錠４ｍｇ「ＴＣＫ」,3,,,,
2590010F2100,シロドシン,シロドシン錠４ｍｇ「オーハラ」,3,,,,
2590010F2119,シロドシン,シロドシン錠４ｍｇ「杏林」,3,,,,
2590010F3018,シロドシン,シロドシン２ｍｇ口腔内崩壊錠,3,,,,
2590010F3026,シロドシン,ユリーフＯＤ錠２ｍｇ,2,,,,
2590010F3042,シロドシン,シロドシンＯＤ錠２ｍｇ「ＥＥ」,3,,,,
2590010F3069,シロドシン,シロドシンＯＤ錠２ｍｇ「ＫＮ」,3,,,,
2590010F3077,シロドシン,シロドシンＯＤ錠２ｍｇ「Ｍｅ」,3,,,,
2590010F3085,シロドシン,シロドシンＯＤ錠２ｍｇ「ＹＤ」,3,,,,
2590010F3093,シロドシン,シロドシンＯＤ錠２ｍｇ「あすか」,3,,,,
2590010F3115,シロドシン,シロドシンＯＤ錠２ｍｇ「杏林」,3,,,,
2590010F3123,シロドシン,シロドシンＯＤ錠２ｍｇ「ケミファ」,3,,,,
2590010F3166,シロドシン,シロドシンＯＤ錠２ｍｇ「ニプロ」,3,,,,
2590010F3174,シロドシン,シロドシンＯＤ錠２ｍｇ「ＪＧ」,3,,,,
2590010F4014,シロドシン,シロドシン４ｍｇ口腔内崩壊錠,3,,,,
2590010F4022,シロドシン,ユリーフＯＤ錠４ｍｇ,2,,,,
2590010F4030,シロドシン,シロドシンＯＤ錠４ｍｇ「ＤＳＥＰ」,3,,,,
2590010F4049,シロドシン,シロドシンＯＤ錠４ｍｇ「ＥＥ」,3,,,,
2590010F4057,シロドシン,シロドシンＯＤ錠４ｍｇ「ＫＭＰ」,3,,,,
2590010F4065,シロドシン,シロドシンＯＤ錠４ｍｇ「ＫＮ」,3,,,,
2590010F4073,シロドシン,シロドシンＯＤ錠４ｍｇ「Ｍｅ」,3,,,,
2590010F4081,シロドシン,シロドシンＯＤ錠４ｍｇ「ＹＤ」,3,,,,
2590010F4090,シロドシン,シロドシンＯＤ錠４ｍｇ「あすか」,3,,,,
2590010F4103,シロドシン,シロドシンＯＤ錠４ｍｇ「オーハラ」,3,,,,
2590010F4111,シロドシン,シロドシンＯＤ錠４ｍｇ「杏林」,3,,,,
2590010F4120,シロドシン,シロドシンＯＤ錠４ｍｇ「ケミファ」,3,,,,
2590010F4146,シロドシン,シロドシンＯＤ錠４ｍｇ「ツルハラ」,3,,,,
2590010F4154,シロドシン,シロドシンＯＤ錠４ｍｇ「日新」,3,,,,
2590010F4162,シロドシン,シロドシンＯＤ錠４ｍｇ「ニプロ」,3,,,,
2590010F4170,シロドシン,シロドシンＯＤ錠４ｍｇ「ＪＧ」,3,,,,
2590011F1028,コハク酸ソリフェナシン,ベシケア錠２．５ｍｇ,2,,,,
2590011F1036,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩錠２．５ｍｇ「ＴＣＫ」,3,,,,
2590011F1044,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩錠２．５ｍｇ「ＹＤ」,3,,,,
2590011F1052,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩錠２．５ｍｇ「サワイ」,3,,,,
2590011F1060,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩錠２．５ｍｇ「ツルハラ」,3,,,,
2590011F1079,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩錠２．５ｍｇ「トーワ」,3,,,,
2590011F1087,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩錠２．５ｍｇ「日医工」,3,,,,
2590011F2024,コハク酸ソリフェナシン,ベシケア錠５ｍｇ,2,,,,
2590011F2032,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩錠５ｍｇ「ＴＣＫ」,3,,,,
2590011F2040,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩錠５ｍｇ「ＹＤ」,3,,,,
2590011F2059,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩錠５ｍｇ「サワイ」,3,,,,
2590011F2067,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩錠５ｍｇ「ツルハラ」,3,,,,
2590011F2075,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩錠５ｍｇ「トーワ」,3,,,,
2590011F2083,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩錠５ｍｇ「日医工」,3,,,,
2590011F3020,コハク酸ソリフェナシン,ベシケアＯＤ錠２．５ｍｇ,2,,,,
2590011F3039,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩ＯＤ錠２．５ｍｇ「ＪＧ」,3,,,,
2590011F3047,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩ＯＤ錠２．５ｍｇ「サワイ」,3,,,,
2590011F3055,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩ＯＤ錠２．５ｍｇ「トーワ」,3,,,,
2590011F3063,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩ＯＤ錠２．５ｍｇ「ニプロ」,3,,,,
2590011F3071,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩ＯＤ錠２．５ｍｇ「日医工」,3,,,,
2590011F4027,コハク酸ソリフェナシン,ベシケアＯＤ錠５ｍｇ,2,,,,
2590011F4035,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩ＯＤ錠５ｍｇ「ＪＧ」,3,,,,
2590011F4043,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩ＯＤ錠５ｍｇ「サワイ」,3,,,,
2590011F4051,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩ＯＤ錠５ｍｇ「トーワ」,3,,,,
2590011F4060,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩ＯＤ錠５ｍｇ「ニプロ」,3,,,,
2590011F4078,コハク酸ソリフェナシン,ソリフェナシンコハク酸塩ＯＤ錠５ｍｇ「日医工」,3,,,,
2590012M1021,トルテロジン酒石酸塩,デトルシトールカプセル２ｍｇ,1,,,,
2590012M2028,トルテロジン酒石酸塩,デトルシトールカプセル４ｍｇ,1,,,,
2590013F1027,イミダフェナシン,ウリトス錠０．１ｍｇ,2,,,,
2590013F1035,イミダフェナシン,ステーブラ錠０．１ｍｇ,2,,,,
2590013F1043,イミダフェナシン,イミダフェナシン錠０．１ｍｇ「ＪＧ」,3,,,,
2590013F1051,イミダフェナシン,イミダフェナシン錠０．１ｍｇ「ＹＤ」,3,,,,
2590013F1060,イミダフェナシン,イミダフェナシン錠０．１ｍｇ「杏林」,3,,,,
2590013F1078,イミダフェナシン,イミダフェナシン錠０．１ｍｇ「サワイ」,3,,,,
2590013F2023,イミダフェナシン,ウリトスＯＤ錠０．１ｍｇ,2,,,,
2590013F2031,イミダフェナシン,ステーブラＯＤ錠０．１ｍｇ,2,,,,
2590013F2040,イミダフェナシン,イミダフェナシンＯＤ錠０．１ｍｇ「ＪＧ」,3,,,,
2590013F2058,イミダフェナシン,イミダフェナシンＯＤ錠０．１ｍｇ「ＴＣＫ」,3,,,,
2590013F2066,イミダフェナシン,イミダフェナシンＯＤ錠０．１ｍｇ「ＹＤ」,3,,,,
2590013F2074,イミダフェナシン,イミダフェナシンＯＤ錠０．１ｍｇ「杏林」,3,,,,
2590013F2082,イミダフェナシン,イミダフェナシンＯＤ錠０．１ｍｇ「サワイ」,3,,,,
2590013F2090,イミダフェナシン,イミダフェナシンＯＤ錠０．１ｍｇ「ツルハラ」,3,,,,
2590013F2104,イミダフェナシン,イミダフェナシンＯＤ錠０．１ｍｇ「トーワ」,3,,,,
2590014F1021,ミラベグロン,ベタニス錠２５ｍｇ,1,,,,
2590014F2028,ミラベグロン,ベタニス錠５０ｍｇ,1,,,,
2590015G1021,フェソテロジンフマル酸塩,トビエース錠４ｍｇ,1,,,,
2590015G2028,フェソテロジンフマル酸塩,トビエース錠８ｍｇ,1,,,,
2590016F1020,タダラフィル,ザルティア錠２．５ｍｇ,2,,,,
2590016F1039,タダラフィル,タダラフィル錠２．５ｍｇＺＡ「ＪＧ」,3,,,,
2590016F1047,タダラフィル,タダラフィル錠２．５ｍｇＺＡ「あすか」,3,,,,
2590016F1055,タダラフィル,タダラフィル錠２．５ｍｇＺＡ「杏林」,3,,,,
2590016F1063,タダラフィル,タダラフィル錠２．５ｍｇＺＡ「サワイ」,3,,,,
2590016F1071,タダラフィル,タダラフィル錠２．５ｍｇＺＡ「サンド」,3,,,,
2590016F1080,タダラフィル,タダラフィル錠２．５ｍｇＺＡ「日医工」,3,,,,
2590016F1098,タダラフィル,タダラフィル錠２．５ｍｇＺＡ「ニプロ」,3,,,,
2590016F1101,タダラフィル,タダラフィル錠２．５ｍｇＺＡ「フソー」,3,,,,
2590016F1110,タダラフィル,タダラフィル錠２．５ｍｇＺＡ「シオエ」,3,,,,
2590016F2027,タダラフィル,ザルティア錠５ｍｇ,2,,,,
2590016F2035,タダラフィル,タダラフィル錠５ｍｇＺＡ「ＪＧ」,3,,,,
2590016F2043,タダラフィル,タダラフィル錠５ｍｇＺＡ「あすか」,3,,,,
2590016F2051,タダラフィル,タダラフィル錠５ｍｇＺＡ「杏林」,3,,,,
2590016F2060,タダラフィル,タダラフィル錠５ｍｇＺＡ「サワイ」,3,,,,
2590016F2078,タダラフィル,タダラフィル錠５ｍｇＺＡ「サンド」,3,,,,
2590016F2086,タダラフィル,タダラフィル錠５ｍｇＺＡ「日医工」,3,,,,
2590016F2094,タダラフィル,タダラフィル錠５ｍｇＺＡ「ニプロ」,3,,,,
2590016F2108,タダラフィル,タダラフィル錠５ｍｇＺＡ「フソー」,3,,,,
2590016F2116,タダラフィル,タダラフィル錠５ｍｇＺＡ「シオエ」,3,,,,
2590016F3023,タダラフィル,タダラフィルＯＤ錠２．５ｍｇＺＡ「トーワ」,3,,,,
2590016F4020,タダラフィル,タダラフィルＯＤ錠５ｍｇＺＡ「トーワ」,3,,,,
2590016F5026,タダラフィル,シアリス錠５ｍｇ,1,,,,
2590016F6022,タダラフィル,シアリス錠１０ｍｇ,1,,,,
2590016F7029,タダラフィル,シアリス錠２０ｍｇ,1,,,,
2590017F1025,ビベグロン,ベオーバ錠５０ｍｇ,1,,,,
2590018F1020,シルデナフィルクエン酸塩,バイアグラ錠２５ｍｇ,1,,,,
2590018F2026,シルデナフィルクエン酸塩,バイアグラ錠５０ｍｇ,1,,,,
2590018F3022,シルデナフィルクエン酸塩,バイアグラＯＤフィルム２５ｍｇ,1,,,,
2590018F4029,シルデナフィルクエン酸塩,バイアグラＯＤフィルム５０ｍｇ,1,,,,
2590100X1112,オオウメガサソウエキス・ハコヤナギエキス配合剤,エピカルス配合錠,3,,,,
2590100X1139,オオウメガサソウエキス・ハコヤナギエキス配合剤,エルサメット配合錠,3,,,,
2590100X2046,オオウメガサソウエキス・ハコヤナギエキス配合剤,エビプロスタット配合錠ＤＢ,,,,,
2590100X2062,オオウメガサソウエキス・ハコヤナギエキス配合剤,エルサメットＳ配合錠,3,,,,
2699002F1046,メトキサレン,オクソラレン錠１０ｍｇ,,,,,
