区分,薬価基準収載医薬品コード,成分名,規格,日本薬局方,麻薬,業者名追記,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
内用薬,1149019F1013,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,,,,ロキソプロフェンナトリウム６０ｍｇ錠,,後発品,,,5.7,,
内用薬,1149019F1480,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェン錠６０ｍｇ「ＥＭＥＣ」,エルメッド,後発品,,,9.8,,
内用薬,1149019F1498,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンナトリウム錠６０ｍｇ「ＣＨ」,長生堂製薬,後発品,,,9.8,,
内用薬,1149019F1560,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソニン錠６０ｍｇ,第一三共,,先発品,○,11,,
内用薬,1149019F1587,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンＮａ錠６０ｍｇ「サワイ」,メディサ新薬,後発品,,,7.9,,
内用薬,1149019F1595,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンナトリウム錠６０ｍｇ「日医工」,日医工,後発品,,,9.8,,
内用薬,1149019F1609,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンＮａ錠６０ｍｇ「ＹＤ」,陽進堂,後発品,,,9.8,,
内用薬,1149019F1617,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンＮａ錠６０ｍｇ「三和」,三和化学研究所,後発品,,,9.8,,
内用薬,1149019F1625,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンＮａ錠６０ｍｇ「トーワ」,東和薬品,後発品,,,7.9,,
内用薬,1149019F1633,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンＮａ錠６０ｍｇ「ツルハラ」,鶴原製薬,後発品,,,7.9,,
内用薬,1149019F1641,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンＮａ錠６０ｍｇ「ＫＮ」,小林化工,後発品,,,7.9,,
内用薬,1149019F1668,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンＮａ錠６０ｍｇ「アメル」,共和薬品工業,後発品,,,9.8,,
内用薬,1149019F1676,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンＮａ錠６０ｍｇ「日新」,日新製薬（山形）,後発品,,,7.9,,
内用薬,1149019F1692,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンＮａ錠６０ｍｇ「ＮＰＩ」,日本薬品工業,後発品,,,9.8,,
内用薬,1149019F1706,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンＮａ錠６０ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,7.9,,
内用薬,1149019F1714,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンＮａ錠６０ｍｇ「ＯＨＡ」,大原薬品工業,後発品,,,9.8,,
内用薬,1149019F1722,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンＮａ錠６０ｍｇ「あすか」,あすか製薬,後発品,,,9.8,,
内用薬,1149019F1730,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンＮａ錠６０ｍｇ「武田テバ」,武田テバファーマ,後発品,,,7.9,,
内用薬,1149019F1749,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンＮａ錠６０ｍｇ「三恵」,三恵薬品,後発品,,,9.8,,
内用薬,1149019F1757,ロキソプロフェンナトリウム水和物,６０ｍｇ１錠,局,,,ロキソプロフェンＮａ錠６０ｍｇ「ＫＯ」,寿製薬,後発品,,,9.8,,
内用薬,1149019S1038,ロキソプロフェンナトリウム水和物,０．６％１ｍＬ,,,,ロキソプロフェンナトリウム内服液６０ｍｇ「日医工」,日医工,後発品,,,1.8,,
内用薬,1149023F1036,ワクシニアウイルス接種家兎炎症皮膚抽出液,４単位１錠,,,,ノイロトロピン錠４単位,日本臓器製薬,,先発品,,28.9,,
内用薬,1149026F1056,オキサプロジン,１００ｍｇ１錠,,,,アルボ錠１００ｍｇ,大正製薬,,先発品,,18.3,,
内用薬,1149026F2206,オキサプロジン,２００ｍｇ１錠,,,,アルボ錠２００ｍｇ,大正製薬,,先発品,,23.3,,
内用薬,1149027F1034,ナブメトン,４００ｍｇ１錠,局,,,レリフェン錠４００ｍｇ,三和化学研究所,,先発品,,26.3,,
内用薬,1149029F1017,ザルトプロフェン,８０ｍｇ１錠,,,,ザルトプロフェン８０ｍｇ錠,,後発品,,,10.1,,
内用薬,1149029F1025,ザルトプロフェン,８０ｍｇ１錠,局,,,ソレトン錠８０,日本ケミファ,,先発品,○,13.9,,
内用薬,1149029F1033,ザルトプロフェン,８０ｍｇ１錠,局,,,ペオン錠８０,ゼリア新薬工業,,先発品,○,13.3,,
内用薬,1149030M1027,アンピロキシカム,１３．５ｍｇ１カプセル,局,,,フルカムカプセル１３．５ｍｇ,ファイザー,,先発品,,31.8,,
内用薬,1149030M2023,アンピロキシカム,２７ｍｇ１カプセル,局,,,フルカムカプセル２７ｍｇ,ファイザー,,先発品,,50.4,,
内用薬,1149031F1014,アクタリット,１００ｍｇ１錠,,,,アクタリット１００ｍｇ錠,,後発品,,,21.3,,
内用薬,1149031F1022,アクタリット,１００ｍｇ１錠,,,,モーバー錠１００ｍｇ,田辺三菱製薬,,先発品,○,44.7,,
内用薬,1149031F1030,アクタリット,１００ｍｇ１錠,,,,オークル錠１００ｍｇ,日本新薬,,先発品,○,44.7,,
内用薬,1149032F1019,エトドラク,１００ｍｇ１錠,,,,エトドラク１００ｍｇ錠,,後発品,,,6.4,,
内用薬,1149032F1027,エトドラク,１００ｍｇ１錠,,,,ハイペン錠１００ｍｇ,日本新薬,,先発品,○,12.7,,
内用薬,1149032F1035,エトドラク,１００ｍｇ１錠,,,,オステラック錠１００,あすか製薬,,先発品,○,13.4,,
内用薬,1149032F2015,エトドラク,２００ｍｇ１錠,,,,エトドラク２００ｍｇ錠,,後発品,,,8.7,,
内用薬,1149032F2023,エトドラク,２００ｍｇ１錠,,,,ハイペン錠２００ｍｇ,日本新薬,,先発品,○,17.9,,
内用薬,1149032F2031,エトドラク,２００ｍｇ１錠,,,,オステラック錠２００,あすか製薬,,先発品,○,18.3,,
内用薬,1149034F1026,塩酸ペンタゾシン,２５ｍｇ１錠,,,,ソセゴン錠２５ｍｇ,丸石製薬,,先発品,,32.7,,
内用薬,1149035F1012,メロキシカム,５ｍｇ１錠,,,,メロキシカム５ｍｇ錠,,後発品,,,10.5,,
内用薬,1149035F1020,メロキシカム,５ｍｇ１錠,,,,モービック錠５ｍｇ,日本ベーリンガーインゲルハイム,,先発品,○,23.3,,
内用薬,1149035F1039,メロキシカム,５ｍｇ１錠,,,,メロキシカム錠５ｍｇ「ＥＭＥＣ」,ダイト,後発品,,,14.2,,
内用薬,1149035F1110,メロキシカム,５ｍｇ１錠,,,,メロキシカム錠５ｍｇ「アメル」,共和薬品工業,後発品,,,14.2,,
内用薬,1149035F1128,メロキシカム,５ｍｇ１錠,,,,メロキシカム錠５ｍｇ「科研」,シオノケミカル,後発品,,,14.2,,
内用薬,1149035F1136,メロキシカム,５ｍｇ１錠,,,,メロキシカム錠５ｍｇ「ケミファ」,日本ケミファ,後発品,,,14.2,,
内用薬,1149035F1144,メロキシカム,５ｍｇ１錠,,,,メロキシカム錠５ｍｇ「サワイ」,沢井製薬,後発品,,,14.2,,
内用薬,1149035F1160,メロキシカム,５ｍｇ１錠,,,,メロキシカム錠５ｍｇ「タカタ」,高田製薬,後発品,,,14.2,,
内用薬,1149035F1179,メロキシカム,５ｍｇ１錠,,,,メロキシカム錠５ｍｇ「タナベ」,ニプロＥＳファーマ,後発品,,,14.2,,
内用薬,1149035F1195,メロキシカム,５ｍｇ１錠,,,,メロキシカム錠５ｍｇ「日医工」,日医工,後発品,,,14.2,,
内用薬,1149035F2019,メロキシカム,１０ｍｇ１錠,,,,メロキシカム１０ｍｇ錠,,後発品,,,14.1,,
内用薬,1149035F2027,メロキシカム,１０ｍｇ１錠,,,,モービック錠１０ｍｇ,日本ベーリンガーインゲルハイム,,先発品,○,36.5,,
内用薬,1149035F2035,メロキシカム,１０ｍｇ１錠,,,,メロキシカム錠１０ｍｇ「ＥＭＥＣ」,ダイト,後発品,,,20.3,,
内用薬,1149035F2094,メロキシカム,１０ｍｇ１錠,,,,メロキシカム錠１０ｍｇ「ＴＹＫ」,武田テバ薬品,後発品,,,20.3,,
内用薬,1149035F2124,メロキシカム,１０ｍｇ１錠,,,,メロキシカム錠１０ｍｇ「科研」,シオノケミカル,後発品,,,20.3,,
内用薬,1149035F2132,メロキシカム,１０ｍｇ１錠,,,,メロキシカム錠１０ｍｇ「ケミファ」,日本ケミファ,後発品,,,20.3,,
内用薬,1149035F2140,メロキシカム,１０ｍｇ１錠,,,,メロキシカム錠１０ｍｇ「サワイ」,沢井製薬,後発品,,,20.3,,
内用薬,1149035F2167,メロキシカム,１０ｍｇ１錠,,,,メロキシカム錠１０ｍｇ「タカタ」,高田製薬,後発品,,,20.3,,
内用薬,1149035F2175,メロキシカム,１０ｍｇ１錠,,,,メロキシカム錠１０ｍｇ「タナベ」,ニプロＥＳファーマ,後発品,,,20.3,,
内用薬,1149035F2183,メロキシカム,１０ｍｇ１錠,,,,メロキシカム錠１０ｍｇ「トーワ」,東和薬品,後発品,,,20.3,,
内用薬,1149036F1025,ロルノキシカム,２ｍｇ１錠,,,,ロルカム錠２ｍｇ,大正製薬,,先発品,○,11.9,,
内用薬,1149036F1033,ロルノキシカム,２ｍｇ１錠,,,,ロルノキシカム錠２ｍｇ「ＫＯ」,寿製薬,後発品,,,5.9,,
内用薬,1149036F2021,ロルノキシカム,４ｍｇ１錠,,,,ロルカム錠４ｍｇ,大正製薬,,先発品,○,16.1,,
内用薬,1149036F2030,ロルノキシカム,４ｍｇ１錠,,,,ロルノキシカム錠４ｍｇ「ＫＯ」,寿製薬,後発品,,,6.3,,
内用薬,1149037F1011,セレコキシブ,１００ｍｇ１錠,,,,セレコキシブ１００ｍｇ錠,,後発品,,,8.5,,
内用薬,1149037F1020,セレコキシブ,１００ｍｇ１錠,,,,セレコックス錠１００ｍｇ,ヴィアトリス製薬,,先発品,○,38.9,,
内用薬,1149037F1089,セレコキシブ,１００ｍｇ１錠,,,,セレコキシブ錠１００ｍｇ「オーハラ」,大原薬品工業,後発品,,,13.8,,
内用薬,1149037F1097,セレコキシブ,１００ｍｇ１錠,,,,セレコキシブ錠１００ｍｇ「杏林」,キョーリンリメディオ,後発品,,,13.8,,
内用薬,1149037F1100,セレコキシブ,１００ｍｇ１錠,,,,セレコキシブ錠１００ｍｇ「ケミファ」,日本ケミファ,後発品,,,13.8,,
内用薬,1149037F1119,セレコキシブ,１００ｍｇ１錠,,,,セレコキシブ錠１００ｍｇ「サワイ」,沢井製薬,後発品,,,13.8,,
内用薬,1149037F1135,セレコキシブ,１００ｍｇ１錠,,,,セレコキシブ錠１００ｍｇ「武田テバ」,武田テバファーマ,後発品,,,13.8,,
内用薬,1149037F1143,セレコキシブ,１００ｍｇ１錠,,,,セレコキシブ錠１００ｍｇ「トーワ」,東和薬品,後発品,,,13.8,,
内用薬,1149037F1160,セレコキシブ,１００ｍｇ１錠,,,,セレコキシブ錠１００ｍｇ「日新」,日新製薬（山形）,後発品,,,13.8,,
内用薬,1149037F1186,セレコキシブ,１００ｍｇ１錠,,,,セレコキシブ錠１００ｍｇ「ファイザー」,ファイザーＵＰＪ,後発品,,,13.8,,
内用薬,1149037F1194,セレコキシブ,１００ｍｇ１錠,,,,セレコキシブ錠１００ｍｇ「フェルゼン」,フェルゼンファーマ,後発品,,,13.8,,
内用薬,1149037F1208,セレコキシブ,１００ｍｇ１錠,,,,セレコキシブ錠１００ｍｇ「三笠」,三笠製薬,後発品,,,13.8,,
内用薬,1149037F1216,セレコキシブ,１００ｍｇ１錠,,,,セレコキシブ錠１００ｍｇ「明治」,Ｍｅ　ファルマ,後発品,,,13.8,,
内用薬,1149037F2018,セレコキシブ,２００ｍｇ１錠,,,,セレコキシブ２００ｍｇ錠,,後発品,,,13.2,,
内用薬,1149037F2026,セレコキシブ,２００ｍｇ１錠,,,,セレコックス錠２００ｍｇ,ヴィアトリス製薬,,先発品,○,57.3,,
内用薬,1149037F2042,セレコキシブ,２００ｍｇ１錠,,,,セレコキシブ錠２００ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,21.2,,
内用薬,1149037F2085,セレコキシブ,２００ｍｇ１錠,,,,セレコキシブ錠２００ｍｇ「オーハラ」,大原薬品工業,後発品,,,21.2,,
内用薬,1149037F2093,セレコキシブ,２００ｍｇ１錠,,,,セレコキシブ錠２００ｍｇ「杏林」,キョーリンリメディオ,後発品,,,21.2,,
内用薬,1149037F2107,セレコキシブ,２００ｍｇ１錠,,,,セレコキシブ錠２００ｍｇ「ケミファ」,日本ケミファ,後発品,,,21.2,,
内用薬,1149037F2115,セレコキシブ,２００ｍｇ１錠,,,,セレコキシブ錠２００ｍｇ「サワイ」,沢井製薬,後発品,,,21.2,,
内用薬,1149037F2131,セレコキシブ,２００ｍｇ１錠,,,,セレコキシブ錠２００ｍｇ「武田テバ」,武田テバファーマ,後発品,,,21.2,,
内用薬,1149037F2140,セレコキシブ,２００ｍｇ１錠,,,,セレコキシブ錠２００ｍｇ「トーワ」,東和薬品,後発品,,,21.2,,
内用薬,1149037F2166,セレコキシブ,２００ｍｇ１錠,,,,セレコキシブ錠２００ｍｇ「日新」,日新製薬（山形）,後発品,,,21.2,,
内用薬,1149037F2182,セレコキシブ,２００ｍｇ１錠,,,,セレコキシブ錠２００ｍｇ「ファイザー」,ファイザーＵＰＪ,後発品,,,21.2,,
内用薬,1149037F2190,セレコキシブ,２００ｍｇ１錠,,,,セレコキシブ錠２００ｍｇ「フェルゼン」,フェルゼンファーマ,後発品,,,21.2,,
内用薬,1149037F2204,セレコキシブ,２００ｍｇ１錠,,,,セレコキシブ錠２００ｍｇ「三笠」,三笠製薬,後発品,,,21.2,,
内用薬,1149037F2212,セレコキシブ,２００ｍｇ１錠,,,,セレコキシブ錠２００ｍｇ「明治」,Ｍｅ　ファルマ,後発品,,,21.2,,
内用薬,1149038F1024,トラマドール塩酸塩,２５ｍｇ１錠,,,,トラマールＯＤ錠２５ｍｇ,日本新薬,,先発品,,30.2,,
内用薬,1149038F2020,トラマドール塩酸塩,５０ｍｇ１錠,,,,トラマールＯＤ錠５０ｍｇ,日本新薬,,先発品,,53.1,,
内用薬,1149038G1020,トラマドール塩酸塩,１００ｍｇ１錠,,,,ワントラム錠１００ｍｇ,日本新薬,,先発品,,93.6,,
内用薬,1149038G2026,トラマドール塩酸塩,５０ｍｇ１錠,,,,ツートラム錠５０ｍｇ,日本臓器製薬,,先発品,,58.5,,
内用薬,1149038G3022,トラマドール塩酸塩,１００ｍｇ１錠,,,,ツートラム錠１００ｍｇ,日本臓器製薬,,先発品,,102.9,,
内用薬,1149038G4029,トラマドール塩酸塩,１５０ｍｇ１錠,,,,ツートラム錠１５０ｍｇ,日本臓器製薬,,先発品,,141.9,,
内用薬,1149108D1039,シメトリド・無水カフェイン,１ｇ,,,,キョーリンＡＰ２配合顆粒,杏林製薬,,,,11,,
内用薬,1149109F1034,エルゴタミン酒石酸塩・無水カフェイン配合剤,１錠,,,,クリアミン配合錠Ａ１．０,日医工,,,,10.6,,
内用薬,1149115F1030,エルゴタミン酒石酸塩・無水カフェイン配合剤,１錠,,,,クリアミン配合錠Ｓ０．５,日医工,,,,6.8,,
内用薬,1149116D1033,ピラゾロン系解熱鎮痛消炎配合剤,１ｇ,,,,ＳＧ配合顆粒,シオノギファーマ,,先発品,,9.4,,
内用薬,1149117F1012,トラマドール塩酸塩・アセトアミノフェン,１錠,,,,トラマドール塩酸塩・アセトアミノフェン錠,,後発品,,,9.8,,
内用薬,1149117F1020,トラマドール塩酸塩・アセトアミノフェン,１錠,,,,トラムセット配合錠,ヤンセンファーマ,,先発品,○,41.7,,
内用薬,1149117F1055,トラマドール塩酸塩・アセトアミノフェン,１錠,,,,トアラセット配合錠「ＪＧ」,日本ジェネリック,後発品,,,14.6,,
内用薬,1149117F1071,トラマドール塩酸塩・アセトアミノフェン,１錠,,,,トアラセット配合錠「ＳＮ」,シオノケミカル,後発品,,,14.6,,
内用薬,1149117F1098,トラマドール塩酸塩・アセトアミノフェン,１錠,,,,トアラセット配合錠「ＴＣＫ」,辰巳化学,後発品,,,14.6,,
内用薬,1149117F1136,トラマドール塩酸塩・アセトアミノフェン,１錠,,,,トアラセット配合錠「共創未来」,共創未来ファーマ,後発品,,,14.6,,
内用薬,1149117F1160,トラマドール塩酸塩・アセトアミノフェン,１錠,,,,トアラセット配合錠「サワイ」,沢井製薬,後発品,,,14.6,,
内用薬,1149117F1179,トラマドール塩酸塩・アセトアミノフェン,１錠,,,,トアラセット配合錠「サンド」,サンド,後発品,,,14.6,,
内用薬,1149117F1187,トラマドール塩酸塩・アセトアミノフェン,１錠,,,,トアラセット配合錠「武田テバ」,武田テバファーマ,後発品,,,14.6,,
内用薬,1149117F1195,トラマドール塩酸塩・アセトアミノフェン,１錠,,,,トアラセット配合錠「トーワ」,東和薬品,後発品,,,14.6,,
内用薬,1149117F1225,トラマドール塩酸塩・アセトアミノフェン,１錠,,,,トアラセット配合錠「日本臓器」,日本臓器製薬,後発品,,,14.6,,
内用薬,1149117F1250,トラマドール塩酸塩・アセトアミノフェン,１錠,,,,トアラセット配合錠「三笠」,三笠製薬,後発品,,,14.6,,
内用薬,1151001F1020,メタンフェタミン塩酸塩,１ｍｇ１錠,,,,ヒロポン錠,大日本住友製薬,,,,300.7,,
内用薬,1161001C1011,アマンタジン塩酸塩,１０％１ｇ,,,,アマンタジン塩酸塩１０％細粒,,後発品,,,6.5,,
内用薬,1161001C1089,アマンタジン塩酸塩,１０％１ｇ,,,,シンメトレル細粒１０％,サンファーマ,,先発品,○,13.7,,
内用薬,1161001F1018,アマンタジン塩酸塩,５０ｍｇ１錠,,,,アマンタジン塩酸塩５０ｍｇ錠,,後発品,,,5.9,,
内用薬,1161001F1050,アマンタジン塩酸塩,５０ｍｇ１錠,,,,シンメトレル錠５０ｍｇ,サンファーマ,,先発品,○,11.4,,
内用薬,1161001F2014,アマンタジン塩酸塩,１００ｍｇ１錠,,,,アマンタジン塩酸塩１００ｍｇ錠,,後発品,,,5.9,,
内用薬,1161001F2057,アマンタジン塩酸塩,１００ｍｇ１錠,,,,シンメトレル錠１００ｍｇ,サンファーマ,,先発品,○,11.2,,
内用薬,1162001B1048,ビペリデン塩酸塩,１％１ｇ,,,,ビペリデン塩酸塩散１％「ヨシトミ」,田辺三菱製薬,後発品,,,14.4,,
内用薬,1162001C1043,ビペリデン塩酸塩,１％１ｇ,,,,アキネトン細粒１％,大日本住友製薬,,準先発品,○,25.2,,
内用薬,1162001C1051,ビペリデン塩酸塩,１％１ｇ,,,,ビペリデン塩酸塩細粒１％「アメル」,共和薬品工業,後発品,,,14.4,,
内用薬,1162001F1015,ビペリデン塩酸塩,１ｍｇ１錠,,,,ビペリデン塩酸塩１ｍｇ錠,,後発品,,,5.7,,
内用薬,1162001F1066,ビペリデン塩酸塩,１ｍｇ１錠,,,,アキネトン錠１ｍｇ,大日本住友製薬,,,,5.7,,
内用薬,1162001F2046,ビペリデン塩酸塩,２ｍｇ１錠,,,,ビペリデン塩酸塩錠２ｍｇ「サワイ」,沢井製薬,後発品,,,5.7,,
内用薬,1164001B1034,レボドパ,９８．５％１ｇ,,,,ドパストン散９８．５％,大原薬品工業,,先発品,,54.5,,
内用薬,1164001F1060,レボドパ,２００ｍｇ１錠,,,,ドパゾール錠２００ｍｇ,アルフレッサファーマ,,先発品,,14.6,,
内用薬,1164001M2031,レボドパ,２５０ｍｇ１カプセル,,,,ドパストンカプセル２５０ｍｇ,大原薬品工業,,先発品,,18.3,,
内用薬,1169001F1016,トリヘキシフェニジル塩酸塩,２ｍｇ１錠,局,,,トリヘキシフェニジル塩酸塩錠,,,,,8.7,,
内用薬,1169001F1024,トリヘキシフェニジル塩酸塩,２ｍｇ１錠,局,,,アーテン錠（２ｍｇ）,ファイザー,,,,8.8,,
内用薬,1169001F1202,トリヘキシフェニジル塩酸塩,２ｍｇ１錠,局,,,セドリーナ錠２ｍｇ,アルフレッサファーマ,,,,8.8,,
内用薬,1169001F1229,トリヘキシフェニジル塩酸塩,２ｍｇ１錠,局,,,トリヘキシフェニジル塩酸塩錠２ｍｇ「ＣＨ」,長生堂製薬,,,,8.8,,
内用薬,1169001F1253,トリヘキシフェニジル塩酸塩,２ｍｇ１錠,局,,,トリヘキシフェニジル塩酸塩錠２ｍｇ「杏林」,キョーリンリメディオ,,,,8.8,,
内用薬,1169002B1078,トリヘキシフェニジル塩酸塩,１％１ｇ,,,,アーテン散１％,ファイザー,,,,15.5,,
内用薬,1169002B1116,トリヘキシフェニジル塩酸塩,１％１ｇ,,,,トリヘキシフェニジル塩酸塩散１％「ＣＨ」,長生堂製薬,後発品,,,16.2,,
内用薬,1169003C1035,ピロヘプチン塩酸塩,２％１ｇ,,,,トリモール細粒２％,長生堂製薬,,先発品,,41.1,,
内用薬,1169003F1031,ピロヘプチン塩酸塩,２ｍｇ１錠,,,,トリモール錠２ｍｇ,長生堂製薬,,先発品,,5.9,,
内用薬,1169004B1034,マザチコール塩酸塩水和物,１％１ｇ,,,,ペントナ散１％,田辺三菱製薬,,先発品,,40.2,R5.3.31まで,
内用薬,1169004F1036,マザチコール塩酸塩水和物,４ｍｇ１錠,,,,ペントナ錠４ｍｇ,田辺三菱製薬,,先発品,,16.8,R5.3.31まで,
内用薬,1169005F1014,ブロモクリプチンメシル酸塩,２．５ｍｇ１錠,,,,ブロモクリプチンメシル酸塩２．５ｍｇ錠,,後発品,,,14.1,,
内用薬,1169005F1200,ブロモクリプチンメシル酸塩,２．５ｍｇ１錠,,,,パーロデル錠２．５ｍｇ,サンファーマ,,先発品,○,41.6,,
内用薬,1169005F1260,ブロモクリプチンメシル酸塩,２．５ｍｇ１錠,,,,ブロモクリプチン錠２．５ｍｇ「フソー」,ダイト,後発品,,,41.3,,
内用薬,1169005F1324,ブロモクリプチンメシル酸塩,２．５ｍｇ１錠,,,,ブロモクリプチン錠２．５ｍｇ「ＫＯ」,寿製薬,後発品,,,41.3,R5.3.31まで,
内用薬,1169006C1039,ドロキシドパ,２０％１ｇ,局,,,ドプス細粒２０％,大日本住友製薬,,先発品,,96.4,,
内用薬,1169006F1027,ドロキシドパ,１００ｍｇ１錠,,,,ドプスＯＤ錠１００ｍｇ,大日本住友製薬,,先発品,○,44.9,,
内用薬,1169006F2023,ドロキシドパ,２００ｍｇ１錠,,,,ドプスＯＤ錠２００ｍｇ,大日本住友製薬,,先発品,○,83.5,,
内用薬,1169006M1018,ドロキシドパ,１００ｍｇ１カプセル,,,,ドロキシドパ１００ｍｇカプセル,,後発品,,,35.5,,
内用薬,1169006M2014,ドロキシドパ,２００ｍｇ１カプセル,,,,ドロキシドパ２００ｍｇカプセル,,後発品,,,69.7,,
内用薬,1169008D1033,ペルゴリドメシル酸塩,０．０２５％１ｇ,,,,ペルゴリド顆粒０．０２５％「日医工」,日医工,後発品,,,95.7,,
内用薬,1169008F1018,ペルゴリドメシル酸塩,５０μｇ１錠,,,,ペルゴリドメシル酸塩５０μｇ錠,,後発品,,,16.6,,
内用薬,1169008F1026,ペルゴリドメシル酸塩,５０μｇ１錠,,,,ペルマックス錠５０μｇ,協和キリン,,先発品,○,30.6,,
内用薬,1169008F2014,ペルゴリドメシル酸塩,２５０μｇ１錠,,,,ペルゴリドメシル酸塩２５０μｇ錠,,後発品,,,68.5,,
内用薬,1169008F2022,ペルゴリドメシル酸塩,２５０μｇ１錠,,,,ペルマックス錠２５０μｇ,協和キリン,,先発品,○,122.7,,
内用薬,1169010F1015,セレギリン塩酸塩,２．５ｍｇ１錠,,,,セレギリン塩酸塩２．５ｍｇ錠,,後発品,,,149.6,,
内用薬,1169010F2020,セレギリン塩酸塩,２．５ｍｇ１錠,,,,エフピーＯＤ錠２．５,エフピー,,先発品,○,283.7,,
内用薬,1169011F1010,カベルゴリン,０．２５ｍｇ１錠,,,,カベルゴリン０．２５ｍｇ錠,,後発品,,,31.3,,
内用薬,1169011F1028,カベルゴリン,０．２５ｍｇ１錠,,,,カバサール錠０．２５ｍｇ,ファイザー,,先発品,○,51.1,,
内用薬,1169011F2016,カベルゴリン,１ｍｇ１錠,,,,カベルゴリン１ｍｇ錠,,後発品,,,100.7,,
内用薬,1169011F2024,カベルゴリン,１ｍｇ１錠,,,,カバサール錠１．０ｍｇ,ファイザー,,先発品,○,162.9,,
内用薬,1169012F1022,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,,,,ビ・シフロール錠０．１２５ｍｇ,日本ベーリンガーインゲルハイム,,先発品,○,29.9,,
内用薬,1169012F1030,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,,,,プラミペキソール塩酸塩錠０．１２５ｍｇ「ＡＡ」,あすか製薬,後発品,,,11.6,R5.3.31まで,
内用薬,1169012F1049,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,,,,プラミペキソール塩酸塩錠０．１２５ｍｇ「ＤＳＥＰ」,第一三共エスファ,後発品,,,11.6,,
内用薬,1169012F1057,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,,,,プラミペキソール塩酸塩錠０．１２５ｍｇ「ＥＥ」,エルメッド,後発品,,,11.6,,
内用薬,1169012F1065,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,,,,プラミペキソール塩酸塩錠０．１２５ｍｇ「ＦＦＰ」,共創未来ファーマ,後発品,,,11.6,,
内用薬,1169012F1073,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,,,,プラミペキソール塩酸塩錠０．１２５ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,11.6,,
内用薬,1169012F1090,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,,,,プラミペキソール塩酸塩錠０．１２５ｍｇ「ＭＥＥＫ」,小林化工,後発品,,,11.6,,
内用薬,1169012F1120,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,,,,プラミペキソール塩酸塩錠０．１２５ｍｇ「ＹＤ」,陽進堂,後発品,,,11.6,,
内用薬,1169012F1138,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,,,,プラミペキソール塩酸塩錠０．１２５ｍｇ「アメル」,共和薬品工業,後発品,,,11.6,,
内用薬,1169012F1154,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,,,,プラミペキソール塩酸塩錠０．１２５ｍｇ「サワイ」,沢井製薬,後発品,,,11.6,,
内用薬,1169012F1162,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,,,,プラミペキソール塩酸塩錠０．１２５ｍｇ「タカタ」,高田製薬,後発品,,,11.6,,
内用薬,1169012F1170,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,,,,プラミペキソール塩酸塩錠０．１２５ｍｇ「日医工」,日医工,後発品,,,11.6,,
内用薬,1169012F1189,プラミペキソール塩酸塩水和物,０．１２５ｍｇ１錠,,,,プラミペキソール塩酸塩錠０．１２５ｍｇ「日新」,日新製薬（山形）,後発品,,,11.6,,
