"薬価基準収載
医薬品コード",成分名,品名,各先発医薬品の後発医薬品の有無に関する情報,"収載年月日(YYYYMMDD)
【例】
2014年4月1日
(20140401)",備考
2160004F1027,ゾルミトリプタン,ゾーミッグ錠２．５ｍｇ,１,,
2160004F2023,ゾルミトリプタン,ゾーミッグＲＭ錠２．５ｍｇ,１,,
2160005F1021,エレトリプタン臭化水素酸塩,レルパックス錠２０ｍｇ,１,,
2160006F1026,リザトリプタン安息香酸塩,マクサルト錠１０ｍｇ,１,,
2160006F2022,リザトリプタン安息香酸塩,マクサルトＲＰＤ錠１０ｍｇ,１,,
2160007F1020,ナラトリプタン塩酸塩,アマージ錠２．５ｍｇ,１,,
2160350F1269,ジヒドロエルゴタミンメシル酸塩,ジヒデルゴット錠１ｍｇ,３,,
2160350F1307,ジヒドロエルゴタミンメシル酸塩,ヒポラール錠１ｍｇ,３,,
2160350F1315,ジヒドロエルゴタミンメシル酸塩,パンエルゴット錠１ｍｇ,３,,
2160350F1323,ジヒドロエルゴタミンメシル酸塩,ジヒドロエルゴタミンメシル酸塩錠１ｍｇ「イセイ」,３,20140620,
2160400A1032,フェニレフリン塩酸塩,ネオシネジンコーワ注１ｍｇ,,,
2160400A2039,フェニレフリン塩酸塩,ネオシネジンコーワ注５ｍｇ,,,
2160402A1023,スマトリプタンコハク酸塩,イミグラン注３,１,,
2160402G1026,スマトリプタンコハク酸塩,イミグランキット皮下注３ｍｇ,１,,
2160700Q1027,スマトリプタン,イミグラン点鼻液２０,１,,
2171005F1068,ジラゼプ塩酸塩水和物,コメリアンコーワ錠５０,２,,
2171005F1262,ジラゼプ塩酸塩水和物,タンタリック錠５０ｍｇ,３,,
2171005F1270,ジラゼプ塩酸塩水和物,ジラゼプ塩酸塩錠５０ｍｇ「トーワ」,３,,
2171005F1289,ジラゼプ塩酸塩水和物,スミドルミン錠５０ｍｇ,３,,
2171005F1300,ジラゼプ塩酸塩水和物,トルクシール錠５０ｍｇ,３,,
2171005F1319,ジラゼプ塩酸塩水和物,ジラゼプ塩酸塩錠５０ｍｇ「ＴＣＫ」,３,,
2171005F1327,ジラゼプ塩酸塩水和物,ジラゼプ塩酸塩錠５０ｍｇ「日医工」,３,,
2171005F1335,ジラゼプ塩酸塩水和物,ジラゼプ塩酸塩錠５０ｍｇ「サワイ」,３,20141212,
2171005F2013,ジラゼプ塩酸塩水和物,ジラゼプ塩酸塩１００ｍｇ錠,３,,
2171005F2021,ジラゼプ塩酸塩水和物,コメリアンコーワ錠１００,２,,
2171005F2099,ジラゼプ塩酸塩水和物,ジラゼプ塩酸塩錠１００ｍｇ「トーワ」,３,,
2171005F2129,ジラゼプ塩酸塩水和物,トルクシール錠１００ｍｇ,３,,
2171005F2137,ジラゼプ塩酸塩水和物,ジラゼプ塩酸塩錠１００ｍｇ「ＴＣＫ」,３,,
2171005F2145,ジラゼプ塩酸塩水和物,ジラゼプ塩酸塩錠１００ｍｇ「日医工」,３,,
2171006F1011,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩３０ｍｇ錠,３,,
2171006F1216,ジルチアゼム塩酸塩,セレスナット錠３０ｍｇ,３,,
2171006F1224,ジルチアゼム塩酸塩,ヘルベッサー錠３０,２,,
2171006F1267,ジルチアゼム塩酸塩,ヨウチアゼム錠３０ｍｇ,３,,
2171006F1275,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩錠３０ｍｇ「ＺＥ」,３,,
2171006F1305,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩錠３０ｍｇ「ＣＨ」,３,,
2171006F1313,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩錠３０ｍｇ「タイヨー」,３,,
2171006F1321,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩錠３０ｍｇ「サワイ」,３,,
2171006F1330,ジルチアゼム塩酸塩,ミオカルジー錠３０ｍｇ,３,,
2171006F1348,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩錠３０ｍｇ「日医工」,３,,
2171006F1356,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩錠３０ｍｇ「ＹＤ」,３,,
2171006F1364,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩錠３０ｍｇ「トーワ」,３,,
2171006F1372,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩錠３０ｍｇ「日新」,３,20141212,
2171006F2018,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩６０ｍｇ錠,３,,
2171006F2026,ジルチアゼム塩酸塩,ヘルベッサー錠６０,２,,
2171006F2077,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩錠６０ｍｇ「タイヨー」,３,,
2171006F2085,ジルチアゼム塩酸塩,セレスナット錠６０ｍｇ,３,,
2171006F2093,ジルチアゼム塩酸塩,ヨウチアゼム錠６０ｍｇ,３,,
2171006F2107,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩錠６０ｍｇ「サワイ」,３,,
2171006F2115,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩錠６０ｍｇ「ＺＥ」,３,,
2171006F2123,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩錠６０ｍｇ「ＣＨ」,３,,
2171006F2131,ジルチアゼム塩酸塩,ヘマレキート錠６０ｍｇ,３,,
2171006F2140,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩錠６０ｍｇ「日医工」,３,,
2171006F2158,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩錠６０ｍｇ「ＹＤ」,３,,
2171006F2166,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩錠６０ｍｇ「トーワ」,３,,
2171006N1067,ジルチアゼム塩酸塩,ルチアノンカプセルＲ１００,３,,
2171006N1105,ジルチアゼム塩酸塩,ヘルベッサーＲカプセル１００ｍｇ,２,,
2171006N1148,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩Ｒカプセル１００ｍｇ「サワイ」,３,,
2171006N1156,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩徐放カプセル１００ｍｇ「日医工」,３,,
2171006N2012,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩２００ｍｇ徐放カプセル,３,,
2171006N2039,ジルチアゼム塩酸塩,ヘルベッサーＲカプセル２００ｍｇ,２,,
2171006N2055,ジルチアゼム塩酸塩,ジルチアゼム塩酸塩Ｒカプセル２００ｍｇ「サワイ」,３,,
2171006N2063,ジルチアゼム塩酸塩,ルチアノンカプセルＲ２００,３,,
2171007C1044,トリメタジジン塩酸塩,バスタレルＦ細粒１％,１,,
2171007F1210,トリメタジジン塩酸塩,バスタレルＦ錠３ｍｇ,１,,
2171008F1070,ベラパミル塩酸塩,ワソラン錠４０ｍｇ,,,
2171008F1088,ベラパミル塩酸塩,ベラパミル塩酸塩錠４０ｍｇ「タイヨー」,３,,
2171008F1096,ベラパミル塩酸塩,ホルミトール錠４０ｍｇ,３,,
2171008F1118,ベラパミル塩酸塩,ベラパミル塩酸塩錠４０ｍｇ「ＪＧ」,３,,
2171008F1126,ベラパミル塩酸塩,ベラパミル塩酸塩錠４０ｍｇ「ツルハラ」,３,,
2171010B1059,ジピリダモール,アンギナール散１２．５％,３,,
2171010F1395,ジピリダモール,アンギナール錠１２．５ｍｇ,３,,
2171010F1409,ジピリダモール,ペルサンチン錠１２．５ｍｇ,,,
2171010F1425,ジピリダモール,ジピリダモール錠１２．５ｍｇ「ツルハラ」,３,,
2171010F2065,ジピリダモール,アンギナール錠２５ｍｇ,３,,
2171010F2456,ジピリダモール,ペルミルチン錠２５,３,,
2171010F2499,ジピリダモール,ヨウリダモール錠２５,３,,
2171010F2553,ジピリダモール,ペルサンチン錠２５ｍｇ,,,
2171010F2596,ジピリダモール,ジピリダモール錠２５ｍｇ「ツルハラ」,３,,
2171010F2600,ジピリダモール,サンペル錠２５ｍｇ,３,,
2171010F2618,ジピリダモール,ジピリダモール錠２５ｍｇ「日新」,３,,
2171010F2626,ジピリダモール,ジピリダモール錠２５ｍｇ「トーワ」,３,,
2171010F2634,ジピリダモール,ジピリダモール錠２５ｍｇ「日医工」,３,,
2171010F3010,ジピリダモール,ジピリダモール１００ｍｇ錠,３,,
2171010F3053,ジピリダモール,ペルサンチン錠１００ｍｇ,２,,
2171010N1039,ジピリダモール,ペルサンチン－Ｌカプセル１５０ｍｇ,１,,
2171011G1018,硝酸イソソルビド,硝酸イソソルビド２０ｍｇ徐放錠,３,,
2171011G1123,硝酸イソソルビド,フランドル錠２０ｍｇ,２,,
2171011G1182,硝酸イソソルビド,硝酸イソソルビド徐放錠２０ｍｇ「サワイ」,３,,
2171011N1050,硝酸イソソルビド,ニトロールＲカプセル２０ｍｇ,２,,
2171011N1114,硝酸イソソルビド,カリアントＳＲカプセル２０ｍｇ,３,,
2171011N1122,硝酸イソソルビド,イソコロナールＲカプセル２０ｍｇ,３,,
2171012C1037,トラピジル,ロコルナール細粒１０％,２,,
2171012F1068,トラピジル,セオアニン錠５０,３,,
2171012F1165,トラピジル,アンギクロメン錠５０,３,,
2171012F1181,トラピジル,ロコルナール錠５０ｍｇ,２,,
2171012F1190,トラピジル,カルナコール錠５０ｍｇ,３,,
2171012F1203,トラピジル,トラピジル錠５０ｍｇ「トーワ」,３,,
2171012F1211,トラピジル,トラピジル錠５０ｍｇ「タカタ」,３,,
2171012F1220,トラピジル,トラピジル錠５０ｍｇ「日医工」,３,,
2171012F2013,トラピジル,トラピジル１００ｍｇ錠,３,,
2171012F2315,トラピジル,ロコルナール錠１００ｍｇ,２,,
2171012F2382,トラピジル,トラピジル錠１００ｍｇ「タカタ」,３,,
2171013K1010,ニトログリセリン,ニトログリセリン錠,,,
2171014C1010,ニフェジピン,ニフェジピン１％細粒,３,,
2171014C1044,ニフェジピン,セパミット細粒１％,３,,
2171014C2032,ニフェジピン,セパミット－Ｒ細粒２％,２,,
2171014F1016,ニフェジピン,ニフェジピン１０ｍｇ錠,３,,
2171014G1011,ニフェジピン,ニフェジピン１０ｍｇ徐放錠,３,,
2171014G1020,ニフェジピン,アダラートＬ錠１０ｍｇ,２,,
2171014G1127,ニフェジピン,ニレーナＬ錠１０ｍｇ,３,,
2171014G1151,ニフェジピン,ヘルラートＬ錠１０,３,,
2171014G1194,ニフェジピン,キサラートＬ錠１０ｍｇ,３,,
2171014G1232,ニフェジピン,ニフェジピンＬ錠１０ｍｇ「サワイ」,３,,
2171014G1240,ニフェジピン,アテネラートＬ錠１０ｍｇ,３,,
2171014G1275,ニフェジピン,ニフェジピンＬ錠１０ｍｇ「三和」,３,20140620,
2171014G1283,ニフェジピン,ニフェジピンＬ錠１０ｍｇ「ツルハラ」,３,20141212,
2171014G2018,ニフェジピン,ニフェジピン２０ｍｇ徐放錠,３,,
2171014G2026,ニフェジピン,アダラートＬ錠２０ｍｇ,２,,
2171014G2131,ニフェジピン,ニレーナＬ錠２０ｍｇ,３,,
2171014G2310,ニフェジピン,ニフェジピンＬ錠２０ｍｇ「三和」,３,20140620,
2171014G3022,ニフェジピン,アダラートＣＲ錠１０ｍｇ,２,,
2171014G3049,ニフェジピン,ニフェランタンＣＲ錠１０,３,,
2171014G3065,ニフェジピン,ニフェジピンＣＲ錠１０ｍｇ「サワイ」,３,,
2171014G3081,ニフェジピン,ニフェジピンＣＲ錠１０ｍｇ「ＮＰ」,３,,
2171014G3090,ニフェジピン,ニフェジピンＣＲ錠１０ｍｇ「トーワ」,３,,
2171014G3103,ニフェジピン,ニフェジピンＣＲ錠１０ｍｇ「日医工」,３,,
2171014G4029,ニフェジピン,アダラートＣＲ錠２０ｍｇ,２,,
2171014G4045,ニフェジピン,ニフェランタンＣＲ錠２０,３,,
2171014G4061,ニフェジピン,ニフェジピンＣＲ錠２０ｍｇ「サワイ」,３,,
2171014G4088,ニフェジピン,ニフェジピンＣＲ錠２０ｍｇ「ＮＰ」,３,,
2171014G4096,ニフェジピン,ニフェジピンＣＲ錠２０ｍｇ「トーワ」,３,,
2171014G4100,ニフェジピン,ニフェジピンＣＲ錠２０ｍｇ「日医工」,３,,
2171014G5025,ニフェジピン,アダラートＣＲ錠４０ｍｇ,２,,
2171014G5033,ニフェジピン,ニフェランタンＣＲ錠４０,３,,
2171014G5068,ニフェジピン,ニフェジピンＣＲ錠４０ｍｇ「サワイ」,３,,
2171014G5084,ニフェジピン,ニフェジピンＣＲ錠４０ｍｇ「ＮＰ」,３,,
2171014G5092,ニフェジピン,ニフェジピンＣＲ錠４０ｍｇ「トーワ」,３,,
2171014G5106,ニフェジピン,ニフェジピンＣＲ錠４０ｍｇ「日医工」,３,,
2171014M1023,ニフェジピン,アタナールカプセル５,３,,
2171014M1104,ニフェジピン,アダラートカプセル５ｍｇ,２,,
2171014M1120,ニフェジピン,ニフェジピンカプセル５ｍｇ「サワイ」,３,,
2171014M1139,ニフェジピン,ニフェラートカプセル５ｍｇ,３,,
2171014M1147,ニフェジピン,アテネラートソフトカプセル５ｍｇ,３,,
2171014M1155,ニフェジピン,カサンミルカプセル５ｍｇ,３,,
2171014M1163,ニフェジピン,ニフェジピンカプセル５ｍｇ「テバ」,３,,
2171014M1171,ニフェジピン,ニフェジピンカプセル５ｍｇ「ＴＣ」,３,20141212,
2171014M1180,ニフェジピン,ニフェジピンカプセル５ｍｇ「ツルハラ」,３,20141212,
2171014M2011,ニフェジピン,ニフェジピン１０ｍｇカプセル,３,,
2171014M2259,ニフェジピン,アダラートカプセル１０ｍｇ,２,,
2171014N1029,ニフェジピン,セパミット－Ｒカプセル１０,２,,
2171014N1037,ニフェジピン,エマベリンＬカプセル１０ｍｇ,★,,
2171014N2025,ニフェジピン,セパミット－Ｒカプセル２０,２,,
2171014N3021,ニフェジピン,エマベリンＬカプセル１５ｍｇ,３,,
2171014N4028,ニフェジピン,エマベリンＬカプセル５ｍｇ,３,,
2171016F1015,硝酸イソソルビド,硝酸イソソルビド錠,,,
2171017F1028,ニコランジル,シグマート錠２．５ｍｇ,２,,
2171017F1052,ニコランジル,ニコランジル錠２．５ｍｇ「サワイ」,３,,
2171017F1060,ニコランジル,ニコランジル錠２．５ｍｇ「日医工」,３,,
2171017F1079,ニコランジル,ニコランマート錠２．５ｍｇ,３,,
2171017F2016,ニコランジル,ニコランジル５ｍｇ錠,３,,
2171017F2024,ニコランジル,シグマート錠５ｍｇ,２,,
2171017F2148,ニコランジル,ニコランマート錠５ｍｇ,３,,
2171018K1039,ニトログリセリン,ニトロペン舌下錠０．３ｍｇ,３,,
2171019F1019,ニソルジピン,ニソルジピン５ｍｇ錠,３,,
2171019F1027,ニソルジピン,バイミカード錠５ｍｇ,２,,
2171019F1035,ニソルジピン,リオハード錠５ｍｇ,３,,
2171019F1060,ニソルジピン,ニソミナード錠５ｍｇ,３,,
2171019F1094,ニソルジピン,ニソルジピン錠５ｍｇ「トーワ」,３,,
2171019F1108,ニソルジピン,ニソルジピン錠５ｍｇ「ＹＤ」,３,,
2171019F2015,ニソルジピン,ニソルジピン１０ｍｇ錠,３,,
2171019F2023,ニソルジピン,バイミカード錠１０ｍｇ,２,,
2171019F2066,ニソルジピン,ニソミナード錠１０ｍｇ,３,,
2171019F2074,ニソルジピン,ニソルジピン錠１０ｍｇ「トーワ」,３,,
2171019F2082,ニソルジピン,ニソルジピン錠１０ｍｇ「ＹＤ」,３,,
2171020F1011,ニトレンジピン,ニトレンジピン５ｍｇ錠,３,,
2171020F1020,ニトレンジピン,バイロテンシン錠５ｍｇ,２,,
2171020F2018,ニトレンジピン,ニトレンジピン１０ｍｇ錠,３,,
2171020F2026,ニトレンジピン,バイロテンシン錠１０ｍｇ,２,,
2171021F1024,ベニジピン塩酸塩,コニール錠２,２,,
2171021F1032,ベニジピン塩酸塩,塩酸ベニジピン錠２「ＭＥＥＫ」,３,,
2171021F1067,ベニジピン塩酸塩,ベニジピン塩酸塩錠２ｍｇ「ＮＰＩ」,３,,
2171021F1075,ベニジピン塩酸塩,ベニジピン塩酸塩錠２ｍｇ「ＯＭＥ」,３,,
2171021F1083,ベニジピン塩酸塩,ベニジピン塩酸塩錠２「ＴＣＫ」,３,,
2171021F1091,ベニジピン塩酸塩,ベニジピン塩酸塩錠２ｍｇ「ＴＹＫ」,３,,
2171021F1105,ベニジピン塩酸塩,ベニジピン塩酸塩錠２ｍｇ「ＹＤ」,３,,
2171021F1113,ベニジピン塩酸塩,ベニジピン塩酸塩錠２ｍｇ「サワイ」,３,,
2171021F1121,ベニジピン塩酸塩,ベニジピン塩酸塩錠２ｍｇ「タイヨー」,３,,
2171021F1130,ベニジピン塩酸塩,ベニジピン塩酸塩錠２ｍｇ「日医工」,３,,
2171021F1156,ベニジピン塩酸塩,コニプロス錠２ｍｇ,３,,
2171021F1164,ベニジピン塩酸塩,ベニジピン塩酸塩錠２ｍｇ「ＭＥＤ」,３,,
2171021F1172,ベニジピン塩酸塩,ベニジピン塩酸塩錠２ｍｇ「タナベ」,３,,
2171021F1180,ベニジピン塩酸塩,塩酸ベニジピン錠２ｍｇ「マイラン」,３,,
2171021F1199,ベニジピン塩酸塩,ベニジピン塩酸塩錠２ｍｇ「ＣＨ」,３,,
2171021F1210,ベニジピン塩酸塩,ベニジピン塩酸塩錠２ｍｇ「アメル」,３,,
2171021F1229,ベニジピン塩酸塩,ベニジピン塩酸塩錠２ｍｇ「ツルハラ」,３,,
2171021F1237,ベニジピン塩酸塩,ベニジピン塩酸塩錠２ｍｇ「杏林」,３,,
2171021F1245,ベニジピン塩酸塩,塩酸ベニジピン錠２「ＮＰ」,３,,
2171021F1253,ベニジピン塩酸塩,ベニジピン塩酸塩錠２ｍｇ「トーワ」,３,,
2171021F2020,ベニジピン塩酸塩,コニール錠４,２,,
2171021F2047,ベニジピン塩酸塩,塩酸ベニジピン錠４「ＭＥＥＫ」,３,,
2171021F2098,ベニジピン塩酸塩,コニプロス錠４ｍｇ,３,,
2171021F2101,ベニジピン塩酸塩,ベニジピン塩酸塩錠４ｍｇ「ＮＰＩ」,３,,
2171021F2110,ベニジピン塩酸塩,ベニジピン塩酸塩錠４ｍｇ「ＯＭＥ」,３,,
2171021F2128,ベニジピン塩酸塩,ベニジピン塩酸塩錠４「ＴＣＫ」,３,,
2171021F2136,ベニジピン塩酸塩,ベニジピン塩酸塩錠４ｍｇ「ＴＹＫ」,３,,
2171021F2144,ベニジピン塩酸塩,ベニジピン塩酸塩錠４ｍｇ「ＹＤ」,３,,
2171021F2152,ベニジピン塩酸塩,ベニジピン塩酸塩錠４ｍｇ「サワイ」,３,,
2171021F2160,ベニジピン塩酸塩,ベニジピン塩酸塩錠４ｍｇ「タイヨー」,３,,
2171021F2179,ベニジピン塩酸塩,ベニジピン塩酸塩錠４ｍｇ「日医工」,３,,
2171021F2195,ベニジピン塩酸塩,ベニジピン塩酸塩錠４ｍｇ「ＭＥＤ」,３,,
2171021F2209,ベニジピン塩酸塩,ベニジピン塩酸塩錠４ｍｇ「タナベ」,３,,
2171021F2217,ベニジピン塩酸塩,塩酸ベニジピン錠４ｍｇ「マイラン」,３,,
2171021F2225,ベニジピン塩酸塩,ベニジピン塩酸塩錠４ｍｇ「ＣＨ」,３,,
2171021F2233,ベニジピン塩酸塩,ベニジピン塩酸塩錠４ｍｇ「ツルハラ」,３,,
2171021F2241,ベニジピン塩酸塩,ベニジピン塩酸塩錠４ｍｇ「アメル」,３,,
2171021F2250,ベニジピン塩酸塩,ベニジピン塩酸塩錠４ｍｇ「杏林」,３,,
2171021F2268,ベニジピン塩酸塩,塩酸ベニジピン錠４「ＮＰ」,３,,
2171021F2276,ベニジピン塩酸塩,ベニジピン塩酸塩錠４ｍｇ「トーワ」,３,,
2171021F3019,ベニジピン塩酸塩,ベニジピン塩酸塩８ｍｇ錠,３,,
2171021F3027,ベニジピン塩酸塩,コニール錠８,２,,
2171021F3035,ベニジピン塩酸塩,ベニジピン塩酸塩錠８「ＴＣＫ」,３,,
2171021F3043,ベニジピン塩酸塩,ベニジピン塩酸塩錠８ｍｇ「サワイ」,３,,
2171021F3060,ベニジピン塩酸塩,コニプロス錠８ｍｇ,３,,
2171021F3078,ベニジピン塩酸塩,ベニジピン塩酸塩錠８ｍｇ「ＭＥＤ」,３,,
2171021F3086,ベニジピン塩酸塩,ベニジピン塩酸塩錠８ｍｇ「タナベ」,３,,
2171021F3094,ベニジピン塩酸塩,塩酸ベニジピン錠８ｍｇ「マイラン」,３,,
2171021F3108,ベニジピン塩酸塩,ベニジピン塩酸塩錠８ｍｇ「ＣＨ」,３,,
2171021F3116,ベニジピン塩酸塩,ベニジピン塩酸塩錠８ｍｇ「ＮＰＩ」,３,,
2171021F3124,ベニジピン塩酸塩,ベニジピン塩酸塩錠８ｍｇ「ＯＭＥ」,３,,
2171021F3132,ベニジピン塩酸塩,ベニジピン塩酸塩錠８ｍｇ「日医工」,３,,
2171021F3159,ベニジピン塩酸塩,ベニジピン塩酸塩錠８ｍｇ「ＹＤ」,３,,
2171021F3167,ベニジピン塩酸塩,塩酸ベニジピン錠８「ＭＥＥＫ」,３,,
2171021F3191,ベニジピン塩酸塩,ベニジピン塩酸塩錠８ｍｇ「アメル」,３,,
2171021F3221,ベニジピン塩酸塩,ベニジピン塩酸塩錠８ｍｇ「杏林」,３,,
2171021F3230,ベニジピン塩酸塩,塩酸ベニジピン錠８「ＮＰ」,３,,
2171021F3248,ベニジピン塩酸塩,ベニジピン塩酸塩錠８ｍｇ「トーワ」,３,,
2171022F1010,アムロジピンベシル酸塩,アムロジピンベシル酸塩２．５ｍｇ錠,３,,
2171022F1029,アムロジピンベシル酸塩,ノルバスク錠２．５ｍｇ,２,,
2171022F1045,アムロジピンベシル酸塩,アムロジン錠２．５ｍｇ,２,,
2171022F1053,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ＣＨ」,３,,
2171022F1061,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ＥＭＥＣ」,３,,
2171022F1088,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「Ｆ」,３,,
2171022F1096,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ＪＧ」,３,,
2171022F1100,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ＫＮ」,３,,
2171022F1118,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ＭＥＤ」,３,,
2171022F1126,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ＮＰ」,３,,
2171022F1134,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ＮＳ」,３,,
2171022F1142,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ＰＨ」,３,,
2171022F1169,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ＴＣＫ」,３,,
2171022F1177,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ＴＹＫ」,３,,
2171022F1185,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ＹＤ」,３,,
2171022F1193,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「あすか」,３,,
2171022F1207,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「アメル」,３,,
2171022F1215,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「イセイ」,３,,
2171022F1223,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「イワキ」,３,,
2171022F1231,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「オーハラ」,３,,
2171022F1240,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「科研」,３,,
2171022F1266,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ケミファ」,３,,
2171022F1282,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「サワイ」,３,,
2171022F1290,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「サンド」,３,,
2171022F1304,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「タイヨー」,３,,
2171022F1312,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「タカタ」,３,,
2171022F1320,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「タナベ」,３,,
2171022F1339,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ツルハラ」,３,,
2171022F1347,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「トーワ」,３,,
2171022F1355,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「日医工」,３,,
2171022F1363,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「フソー」,３,,
2171022F1371,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「マイラン」,３,,
2171022F1380,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「明治」,３,,
2171022F1398,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ＢＭＤ」,３,,
2171022F1401,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ＤＳＥＰ」,３,,
2171022F1428,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ＮｉｋＰ」,３,,
2171022F1436,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「ＱＱ」,３,,
2171022F1444,アムロジピンベシル酸塩,アムロジピン錠２．５ｍｇ「杏林」,３,20141212,
2171022F2017,アムロジピンベシル酸塩,アムロジピンベシル酸塩５ｍｇ錠,３,,
2171022F2025,アムロジピンベシル酸塩,ノルバスク錠５ｍｇ,２,,
2171022F2041,アムロジピンベシル酸塩,アムロジン錠５ｍｇ,２,,
2171022F2050,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「ＣＨ」,３,,
2171022F2068,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「ＥＭＥＣ」,３,,
2171022F2084,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「Ｆ」,３,,
2171022F2092,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「ＪＧ」,３,,
2171022F2106,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「ＫＮ」,３,,
2171022F2114,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「ＭＥＤ」,３,,
2171022F2122,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「ＮＰ」,３,,
2171022F2130,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「ＮＳ」,３,,
2171022F2149,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「ＰＨ」,３,,
2171022F2165,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「ＴＣＫ」,３,,
2171022F2173,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「ＴＹＫ」,３,,
2171022F2181,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「ＹＤ」,３,,
2171022F2190,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「あすか」,３,,
2171022F2203,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「アメル」,３,,
2171022F2211,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「イセイ」,３,,
2171022F2220,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「イワキ」,３,,
2171022F2238,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「オーハラ」,３,,
2171022F2246,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「科研」,３,,
2171022F2262,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「ケミファ」,３,,
2171022F2289,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「サワイ」,３,,
2171022F2297,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「サンド」,３,,
2171022F2300,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「タイヨー」,３,,
2171022F2319,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「タカタ」,３,,
2171022F2327,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「タナベ」,３,,
2171022F2335,アムロジピンベシル酸塩,アムロジピン錠５ｍｇ「ツルハラ」,３,,
