薬価基準収載医薬品コード,成分名,品名,各先発医薬品の後発医薬品の有無に関する情報,収載年月日,経過措置による使用期限,備考
1174004F1028,ロフェプラミン塩酸塩,アンプリット錠１０ｍｇ,1,,,
1174004F2024,ロフェプラミン塩酸塩,アンプリット錠２５ｍｇ,1,,,
1174005B1020,トリミプラミンマレイン酸塩,スルモンチール散１０％,,,,
1174005F1022,トリミプラミンマレイン酸塩,スルモンチール錠１０ｍｇ,,,,
1174005F2029,トリミプラミンマレイン酸塩,スルモンチール錠２５ｍｇ,,,,
1174006F1019,イミプラミン塩酸塩,イミプラミン塩酸塩錠,,,,
1174006F2015,イミプラミン塩酸塩,イミプラミン塩酸塩錠,,,,
1174401A1038,クロミプラミン塩酸塩,アナフラニール点滴静注液２５ｍｇ,1,,,
1179001C1024,アモキサピン,アモキサン細粒１０％,1,,,
1179001M1020,アモキサピン,アモキサンカプセル１０ｍｇ,1,,,
1179001M2026,アモキサピン,アモキサンカプセル２５ｍｇ,1,,,
1179001M3022,アモキサピン,アモキサンカプセル５０ｍｇ,1,,,
1179002F1017,アミトリプチリン塩酸塩,アミトリプチリン塩酸塩錠,,,,
1179002F2013,アミトリプチリン塩酸塩,アミトリプチリン塩酸塩錠,,,,
1179004F1024,ノルトリプチリン塩酸塩,ノリトレン錠１０ｍｇ,1,,,
1179004F2039,ノルトリプチリン塩酸塩,ノリトレン錠２５ｍｇ,1,,,
1179005F1053,ヒドロキシジン塩酸塩,アタラックス錠１０ｍｇ,,,,
1179005F2025,ヒドロキシジン塩酸塩,アタラックス錠２５ｍｇ,,,,
1179006B1030,ピパンペロン塩酸塩,プロピタン散１０％,,,,
1179006F1031,ピパンペロン塩酸塩,プロピタン錠５０ｍｇ,,,,
1179008F1022,マプロチリン塩酸塩,ルジオミール錠１０ｍｇ,2,,,
1179008F1030,マプロチリン塩酸塩,クロンモリン錠１０ｍｇ,3,,,
1179008F1081,マプロチリン塩酸塩,マプロチリン塩酸塩錠１０ｍｇ「アメル」,3,,,
1179008F2029,マプロチリン塩酸塩,ルジオミール錠２５ｍｇ,2,,,
1179008F2037,マプロチリン塩酸塩,クロンモリン錠２５ｍｇ,3,,,
1179008F2070,マプロチリン塩酸塩,マプロチリン塩酸塩錠２５ｍｇ「アメル」,3,,,
1179008F3033,マプロチリン塩酸塩,クロンモリン錠５０ｍｇ,3,,,
1179008F3068,マプロチリン塩酸塩,マプロチリン塩酸塩錠５０ｍｇ「アメル」,3,,,
1179009F1035,メチルフェニデート塩酸塩,リタリン錠１０ｍｇ,,,,
1179009G1022,メチルフェニデート塩酸塩,コンサータ錠１８ｍｇ,1,,,
1179009G2029,メチルフェニデート塩酸塩,コンサータ錠２７ｍｇ,1,,,
1179009G3025,メチルフェニデート塩酸塩,コンサータ錠３６ｍｇ,1,,,
1179011B1030,オキシペルチン,ホーリット散１０％,1,,,
1179011F1024,オキシペルチン,ホーリット錠２０ｍｇ,1,,,
1179011F2020,オキシペルチン,ホーリット錠４０ｍｇ,1,,,
1179012D1036,クロチアゼパム,リーゼ顆粒１０％,1,,,
1179012F1118,クロチアゼパム,リーゼ錠５ｍｇ,2,,,
1179012F1134,クロチアゼパム,クロチアゼパム錠５ｍｇ「トーワ」,3,,,
1179012F1150,クロチアゼパム,クロチアゼパム錠５ｍｇ「日医工」,3,,,
1179012F1169,クロチアゼパム,クロチアゼパム錠５ｍｇ「サワイ」,3,,,
1179012F1177,クロチアゼパム,クロチアゼパム錠５ｍｇ「ツルハラ」,3,,,
1179012F2033,クロチアゼパム,リーゼ錠１０ｍｇ,2,,,
1179012F2050,クロチアゼパム,クロチアゼパム錠１０ｍｇ「トーワ」,3,,,
1179012F2084,クロチアゼパム,クロチアゼパム錠１０ｍｇ「日医工」,3,,,
1179012F2092,クロチアゼパム,クロチアゼパム錠１０ｍｇ「サワイ」,3,,,
1179012F2106,クロチアゼパム,クロチアゼパム錠１０ｍｇ「ツルハラ」,3,,,
1179015F1030,スピペロン,スピロピタン錠０．２５ｍｇ,1,,,
1179015F2029,スピペロン,スピロピタン錠１ｍｇ,1,,,
1179016F1094,スルピリド,スルピリド錠１００ｍｇ（ＴＹＫ）,3,,,
1179016F1124,スルピリド,ドグマチール錠１００ｍｇ,2,,,
1179016F1159,スルピリド,スルピリド錠１００ｍｇ「アメル」,3,,,
1179016F1175,スルピリド,アビリット錠１００ｍｇ,2,,,
1179016F1183,スルピリド,スルピリド錠１００ｍｇ「トーワ」,3,,,
1179016F1191,スルピリド,スルピリド錠１００ｍｇ「サワイ」,3,,,
1179016F2066,スルピリド,スルピリド錠２００ｍｇ（ＴＹＫ）,3,,,
1179016F2090,スルピリド,ドグマチール錠２００ｍｇ,2,,,
1179016F2120,スルピリド,スルピリド錠２００ｍｇ「アメル」,3,,,
1179016F2147,スルピリド,アビリット錠２００ｍｇ,2,,,
1179016F2155,スルピリド,スルピリド錠２００ｍｇ「トーワ」,3,,,
1179016F2163,スルピリド,スルピリド錠２００ｍｇ「サワイ」,3,,,
1179017F1048,炭酸リチウム,炭酸リチウム錠１００「ヨシトミ」,3,,,
1179017F1056,炭酸リチウム,リーマス錠１００,2,,,
1179017F1064,炭酸リチウム,炭酸リチウム錠１００ｍｇ「アメル」,3,,,
1179017F1072,炭酸リチウム,炭酸リチウム錠１００ｍｇ「フジナガ」,3,,,
1179017F2044,炭酸リチウム,炭酸リチウム錠２００「ヨシトミ」,3,,,
1179017F2052,炭酸リチウム,リーマス錠２００,2,,,
1179017F2060,炭酸リチウム,炭酸リチウム錠２００ｍｇ「アメル」,3,,,
1179017F2079,炭酸リチウム,炭酸リチウム錠２００ｍｇ「フジナガ」,3,,,
1179019B1037,ヒドロキシジンパモ酸塩,アタラックス－Ｐ散１０％,,,,
1179019F1071,ヒドロキシジンパモ酸塩,ヒドロキシジンパモ酸塩錠２５ｍｇ「日新」,3,,,
1179019M1046,ヒドロキシジンパモ酸塩,アタラックス－Ｐカプセル２５ｍｇ,,,,
1179019M2034,ヒドロキシジンパモ酸塩,アタラックス－Ｐカプセル５０ｍｇ,,,,
1179019Q1030,ヒドロキシジンパモ酸塩,アタラックス－Ｐシロップ０．５％,,,,
1179019R1035,ヒドロキシジンパモ酸塩,アタラックス－Ｐドライシロップ２．５％,,,,
1179020C1019,ハロペリドール,ハロペリドール１％細粒,3,,,
1179020C1191,ハロペリドール,セレネース細粒１％,,,,
1179020C1230,ハロペリドール,ハロステン細粒１％,3,,,
1179020C1299,ハロペリドール,ハロペリドール細粒１％「ヨシトミ」,3,,,
1179020F1210,ハロペリドール,セレネース錠０．７５ｍｇ,,,,
1179020F1244,ハロペリドール,ハロペリドール錠０．７５ｍｇ「アメル」,3,,,
1179020F1252,ハロペリドール,ハロペリドール錠０．７５ｍｇ「ＪＧ」,3,,,
1179020F1260,ハロペリドール,ハロペリドール錠０．７５ｍｇ「ヨシトミ」,3,,,
1179020F2038,ハロペリドール,セレネース錠１ｍｇ,,,,
1179020F2046,ハロペリドール,ハロステン錠１ｍｇ,3,,,
1179020F2100,ハロペリドール,ハロペリドール錠１ｍｇ「アメル」,3,,,
1179020F2119,ハロペリドール,ハロペリドール錠１ｍｇ「ＪＧ」,3,,,
1179020F3255,ハロペリドール,セレネース錠１．５ｍｇ,,,,
1179020F3280,ハロペリドール,ハロペリドール錠１．５ｍｇ「ツルハラ」,3,,,
1179020F3298,ハロペリドール,ハロペリドール錠１．５ｍｇ「アメル」,3,,,
1179020F3301,ハロペリドール,ハロペリドール錠１．５ｍｇ「ＪＧ」,3,,,
1179020F3310,ハロペリドール,ハロペリドール錠１．５ｍｇ「ヨシトミ」,3,,,
1179020F4030,ハロペリドール,ハロステン錠２ｍｇ,3,,,
1179020F4073,ハロペリドール,ハロペリドール錠２ｍｇ「アメル」,3,,,
1179020F4081,ハロペリドール,ハロペリドール錠２ｍｇ「ヨシトミ」,3,,,
1179020F5037,ハロペリドール,セレネース錠３ｍｇ,,,,
1179020F5142,ハロペリドール,ハロペリドール錠３ｍｇ「アメル」,3,,,
1179020F5150,ハロペリドール,ハロペリドール錠３ｍｇ「ＪＧ」,3,,,
1179020F5169,ハロペリドール,ハロペリドール錠３ｍｇ「ヨシトミ」,3,,,
1179020S1030,ハロペリドール,セレネース内服液０．２％,,,,
1179022C1034,ピモジド,オーラップ細粒１％,1,,,
1179022F1022,ピモジド,オーラップ錠１ｍｇ,1,,,
1179022F2029,ピモジド,オーラップ錠３ｍｇ,1,,,
1179023F1035,ペモリン,ベタナミン錠１０ｍｇ,3,,,
1179023F2023,ペモリン,ベタナミン錠２５ｍｇ,3,,,
1179023F3020,ペモリン,ベタナミン錠５０ｍｇ,3,,,
1179024C1033,ゾテピン,ロドピン細粒１０％,2,,,
1179024C1068,ゾテピン,ロシゾピロン細粒１０％,3,,H31.3.31まで,
1179024C1076,ゾテピン,セトウス細粒１０％,3,,,
1179024C1084,ゾテピン,ゾテピン細粒１０％「アメル」,3,,,
1179024C1092,ゾテピン,ゾテピン細粒１０％「ヨシトミ」,3,20180615,,
1179024C2021,ゾテピン,ロドピン細粒５０％,2,,,
1179024C2030,ゾテピン,セトウス細粒５０％,3,,,
1179024C2056,ゾテピン,ロシゾピロン細粒５０％,3,,H31.3.31まで,
1179024C2064,ゾテピン,ゾテピン細粒５０％「アメル」,3,,,
1179024C2072,ゾテピン,ゾテピン細粒５０％「ヨシトミ」,3,20180615,,
1179024F1021,ゾテピン,セトウス錠２５ｍｇ,3,,,
1179024F1030,ゾテピン,ロドピン錠２５ｍｇ,2,,,
1179024F1056,ゾテピン,ロシゾピロン錠２５ｍｇ,3,,H31.3.31まで,
1179024F1072,ゾテピン,ゾテピン錠２５ｍｇ「アメル」,3,,,
1179024F1080,ゾテピン,ゾテピン錠２５ｍｇ「ヨシトミ」,3,20180615,,
1179024F2028,ゾテピン,セトウス錠５０ｍｇ,3,,,
1179024F2036,ゾテピン,ロドピン錠５０ｍｇ,2,,,
1179024F2060,ゾテピン,ロシゾピロン錠５０ｍｇ,3,,H31.3.31まで,
1179024F2079,ゾテピン,ゾテピン錠５０ｍｇ「アメル」,3,,,
1179024F2087,ゾテピン,ゾテピン錠５０ｍｇ「ヨシトミ」,3,20180615,,
1179024F3024,ゾテピン,ロドピン錠１００ｍｇ,2,,,
1179024F3032,ゾテピン,セトウス錠１００ｍｇ,3,,,
1179024F3059,ゾテピン,ロシゾピロン錠１００ｍｇ,3,,H31.3.31まで,
1179024F3067,ゾテピン,ゾテピン錠１００ｍｇ「アメル」,3,,,
1179024F3075,ゾテピン,ゾテピン錠１００ｍｇ「ヨシトミ」,3,20180615,,
1179025C1054,エチゾラム,デパス細粒１％,2,,,
1179025C1070,エチゾラム,エチゾラム細粒１％「ＪＧ」,3,,,
1179025F1026,エチゾラム,デパス錠０．５ｍｇ,2,,,
1179025F1093,エチゾラム,デゾラム錠０．５ｍｇ,3,,,
1179025F1182,エチゾラム,エチゾラム錠０．５ｍｇ「ＥＭＥＣ」,3,,,
1179025F1220,エチゾラム,エチゾラム錠０．５ｍｇ「ＮＰ」,3,,,
1179025F1239,エチゾラム,エチゾラム錠０．５ｍｇ「ＳＷ」,3,,,
1179025F1247,エチゾラム,エチゾラム錠０．５ｍｇ「アメル」,3,,,
1179025F1255,エチゾラム,エチゾラム錠０．５ｍｇ「オーハラ」,3,,,
1179025F1263,エチゾラム,エチゾラム錠０．５ｍｇ「日医工」,3,,,
1179025F1271,エチゾラム,エチゾラム錠０．５ｍｇ「ＫＮ」,3,,,
1179025F1280,エチゾラム,エチゾラム錠０．５ｍｇ「ＴＣＫ」,3,,,
1179025F1298,エチゾラム,エチゾラム錠０．５ｍｇ「ツルハラ」,3,,,
1179025F1301,エチゾラム,エチゾラム錠０．５ｍｇ「トーワ」,3,,,
1179025F1310,エチゾラム,エチゾラム錠０．５ｍｇ「日新」,3,,,
1179025F1328,エチゾラム,エチゾラム錠０．５ｍｇ「ＪＧ」,3,,,
1179025F1336,エチゾラム,エチゾラム錠０．５ｍｇ「フジナガ」,3,,,
1179025F1344,エチゾラム,エチゾラム錠０．５ｍｇ「クニヒロ」,3,,,
1179025F2022,エチゾラム,デパス錠１ｍｇ,2,,,
1179025F2073,エチゾラム,デゾラム錠１ｍｇ,3,,,
1179025F2170,エチゾラム,エチゾラム錠１ｍｇ「ＥＭＥＣ」,3,,,
1179025F2189,エチゾラム,エチゾラム錠１ｍｇ「ＮＰ」,3,,,
1179025F2197,エチゾラム,エチゾラム錠１ｍｇ「ＳＷ」,3,,,
1179025F2200,エチゾラム,エチゾラム錠１ｍｇ「アメル」,3,,,
1179025F2219,エチゾラム,エチゾラム錠１ｍｇ「オーハラ」,3,,,
1179025F2227,エチゾラム,エチゾラム錠１ｍｇ「日医工」,3,,,
1179025F2235,エチゾラム,エチゾラム錠１ｍｇ「ＫＮ」,3,,,
1179025F2243,エチゾラム,エチゾラム錠１ｍｇ「ＴＣＫ」,3,,,
1179025F2251,エチゾラム,エチゾラム錠１ｍｇ「ツルハラ」,3,,,
1179025F2260,エチゾラム,エチゾラム錠１ｍｇ「トーワ」,3,,,
1179025F2278,エチゾラム,エチゾラム錠１ｍｇ「日新」,3,,,
1179025F2286,エチゾラム,エチゾラム錠１ｍｇ「ＪＧ」,3,,,
1179025F2294,エチゾラム,エチゾラム錠１ｍｇ「フジナガ」,3,,,
1179025F2308,エチゾラム,エチゾラム錠１ｍｇ「クニヒロ」,3,,,
1179025F3029,エチゾラム,デパス錠０．２５ｍｇ,2,,,
1179025F3037,エチゾラム,エチゾラム錠０．２５ｍｇ「ＮＰ」,3,,,
1179025F3045,エチゾラム,エチゾラム錠０．２５ｍｇ「ＥＭＥＣ」,3,,,
1179025F3053,エチゾラム,エチゾラム錠０．２５ｍｇ「ＪＧ」,3,,,
1179025F3061,エチゾラム,エチゾラム錠０．２５ｍｇ「ＫＮ」,3,,,
1179025F3070,エチゾラム,エチゾラム錠０．２５ｍｇ「ＳＷ」,3,,,
1179025F3088,エチゾラム,エチゾラム錠０．２５ｍｇ「ツルハラ」,3,,,
1179025F3096,エチゾラム,エチゾラム錠０．２５ｍｇ「日新」,3,,,
1179025F3100,エチゾラム,エチゾラム錠０．２５ｍｇ「ＴＣＫ」,3,,,
1179025F3118,エチゾラム,エチゾラム錠０．２５ｍｇ「アメル」,3,,,
1179025F3126,エチゾラム,エチゾラム錠０．２５ｍｇ「オーハラ」,3,,,
1179025F3134,エチゾラム,エチゾラム錠０．２５ｍｇ「トーワ」,3,,,
1179025F3142,エチゾラム,エチゾラム錠０．２５ｍｇ「日医工」,3,,,
1179025F3150,エチゾラム,エチゾラム錠０．２５ｍｇ「フジナガ」,3,,,
1179025F3169,エチゾラム,デゾラム錠０．２５ｍｇ,3,,,
1179025F3177,エチゾラム,エチゾラム錠０．２５ｍｇ「クニヒロ」,3,,,
1179026C1040,チミペロン,トロペロン細粒１％,2,,,
1179026C1067,チミペロン,チミペロン細粒１％「アメル」,3,,,
1179026F1020,チミペロン,トロペロン錠０．５ｍｇ,2,,,
1179026F1047,チミペロン,チミペロン錠０．５ｍｇ「アメル」,3,,,
1179026F2027,チミペロン,トロペロン錠１ｍｇ,2,,,
1179026F2043,チミペロン,チミペロン錠１ｍｇ「アメル」,3,,,
1179026F3023,チミペロン,トロペロン錠３ｍｇ,2,,,
1179026F3040,チミペロン,チミペロン錠３ｍｇ「アメル」,3,,,
1179027F1025,ドスレピン塩酸塩,プロチアデン錠２５,1,,,
1179028C1066,ブロムペリドール,インプロメン細粒１％,2,,,
1179028C1090,ブロムペリドール,ブロムペリドール細粒１％「アメル」,3,,,
1179028C1104,ブロムペリドール,ブロムペリドール細粒１％「サワイ」,3,,,
1179028F1020,ブロムペリドール,インプロメン錠１ｍｇ,2,,,
1179028F1089,ブロムペリドール,ブロムペリドール錠１ｍｇ「アメル」,3,,,
1179028F1097,ブロムペリドール,ブロムペリドール錠１ｍｇ「サワイ」,3,,,
1179028F2026,ブロムペリドール,インプロメン錠３ｍｇ,2,,,
1179028F2131,ブロムペリドール,ブロムペリドール錠３ｍｇ「アメル」,3,,,
1179028F2140,ブロムペリドール,ブロムペリドール錠３ｍｇ「サワイ」,3,,,
1179028F3022,ブロムペリドール,インプロメン錠６ｍｇ,2,,,
1179028F3065,ブロムペリドール,ブロムペリドール錠６ｍｇ「アメル」,3,,,
1179028F3073,ブロムペリドール,ブロムペリドール錠６ｍｇ「サワイ」,3,,,
1179030D1050,クロカプラミン塩酸塩水和物,クロフェクトン顆粒１０％,1,,,
1179030F1035,クロカプラミン塩酸塩水和物,クロフェクトン錠１０ｍｇ,1,,,
1179030F2066,クロカプラミン塩酸塩水和物,クロフェクトン錠２５ｍｇ,1,,,
1179030F3020,クロカプラミン塩酸塩水和物,クロフェクトン錠５０ｍｇ,1,,,
1179032C1046,スルトプリド塩酸塩,バルネチール細粒５０％,2,,,
1179032C1054,スルトプリド塩酸塩,スルトプリド塩酸塩細粒５０％「アメル」,3,,,
1179032F1026,スルトプリド塩酸塩,バルネチール錠５０,2,,,
1179032F1050,スルトプリド塩酸塩,スルトプリド塩酸塩錠５０ｍｇ「アメル」,3,,,
1179032F1069,スルトプリド塩酸塩,スルトプリド塩酸塩錠５０ｍｇ「ヨシトミ」,3,,,
1179032F2022,スルトプリド塩酸塩,バルネチール錠１００,2,,,
1179032F2065,スルトプリド塩酸塩,スルトプリド塩酸塩錠１００ｍｇ「アメル」,3,,,
1179032F2073,スルトプリド塩酸塩,スルトプリド塩酸塩錠１００ｍｇ「ヨシトミ」,3,,,
1179032F3029,スルトプリド塩酸塩,バルネチール錠２００,2,,,
1179032F3061,スルトプリド塩酸塩,スルトプリド塩酸塩錠２００ｍｇ「アメル」,3,,,
1179032F3070,スルトプリド塩酸塩,スルトプリド塩酸塩錠２００ｍｇ「ヨシトミ」,3,,,
1179033F1020,ミアンセリン塩酸塩,テトラミド錠１０ｍｇ,1,,,
1179033F2027,ミアンセリン塩酸塩,テトラミド錠３０ｍｇ,1,,,
1179034F1050,セチプチリンマレイン酸塩,テシプール錠１ｍｇ,2,,,
1179034F1068,セチプチリンマレイン酸塩,セチプチリンマレイン酸塩錠１ｍｇ「サワイ」,3,,,
1179035D1029,モサプラミン塩酸塩,クレミン顆粒１０％,1,,,
1179035F1020,モサプラミン塩酸塩,クレミン錠１０ｍｇ,1,,,
1179035F3022,モサプラミン塩酸塩,クレミン錠２５ｍｇ,1,,,
1179035F4029,モサプラミン塩酸塩,クレミン錠５０ｍｇ,1,,,
1179036F1024,ネモナプリド,エミレース錠３ｍｇ,1,,,
1179036F2020,ネモナプリド,エミレース錠１０ｍｇ,1,,,
1179037F1029,トラゾドン塩酸塩,レスリン錠２５,2,,,
1179037F1037,トラゾドン塩酸塩,デジレル錠２５,2,,,
1179037F1053,トラゾドン塩酸塩,トラゾドン塩酸塩錠２５ｍｇ「アメル」,3,,,
1179037F2025,トラゾドン塩酸塩,レスリン錠５０,2,,,
1179037F2033,トラゾドン塩酸塩,デジレル錠５０,2,,,
1179037F2050,トラゾドン塩酸塩,トラゾドン塩酸塩錠５０ｍｇ「アメル」,3,,,
1179038C1027,リスペリドン,リスパダール細粒１％,2,,,
1179038C1035,リスペリドン,リスペリドン細粒１％「ＣＨ」,3,,,
1179038C1043,リスペリドン,リスペリドン細粒１％「ＭＥＥＫ」,3,,,
1179038C1051,リスペリドン,リスペリドン細粒１％「ＮＰ」,3,,,
1179038C1078,リスペリドン,リスペリドン細粒１％「アメル」,3,,,
1179038C1086,リスペリドン,リスペリドン細粒１％「オーハラ」,3,,,
1179038C1094,リスペリドン,リスペリドン細粒１％「サワイ」,3,,,
1179038C1108,リスペリドン,リスペリドン細粒１％「タイヨー」,3,,H31.3.31まで,
1179038C1116,リスペリドン,リスペリドン細粒１％「トーワ」,3,,,
1179038C1124,リスペリドン,リスペリドン細粒１％「日医工」,3,,,
1179038C1140,リスペリドン,リスペリドン細粒１％「ヨシトミ」,3,,,
1179038C1167,リスペリドン,リスペリドン細粒１％「タカタ」,3,,,
1179038C1175,リスペリドン,リスペリドン細粒１％「ファイザー」,3,,,
1179038F1015,リスペリドン,リスペリドン１ｍｇ錠,3,,,
1179038F1023,リスペリドン,リスパダール錠１ｍｇ,2,,,
1179038F1031,リスペリドン,リスペリドン錠１ｍｇ「ＣＨ」,3,,,
1179038F1040,リスペリドン,リスペリドン錠１「ＭＥＥＫ」,3,,,
1179038F1058,リスペリドン,リスペリドン錠１ｍｇ「ＮＰ」,3,,,
1179038F1074,リスペリドン,リスペリドン錠１ｍｇ「アメル」,3,,,
1179038F1082,リスペリドン,リスペリドン錠１「オーハラ」,3,,,
1179038F1090,リスペリドン,リスペリドン錠１ｍｇ「サワイ」,3,,,
1179038F1112,リスペリドン,リスペリドン錠１ｍｇ「タイヨー」,3,,H31.3.31まで,
1179038F1120,リスペリドン,リスペリドン錠１ｍｇ「日医工」,3,,,
1179038F1147,リスペリドン,リスペリドン錠１ｍｇ「ヨシトミ」,3,,,
1179038F1163,リスペリドン,リスペリドン錠１ｍｇ「タカタ」,3,,,
1179038F1171,リスペリドン,リスペリドン錠１ｍｇ「トーワ」,3,,,
1179038F1198,リスペリドン,リスペリドン錠１ｍｇ「ファイザー」,3,,,
1179038F2011,リスペリドン,リスペリドン２ｍｇ錠（１）,3,,,
1179038F2020,リスペリドン,リスパダール錠２ｍｇ,2,,,
1179038F2046,リスペリドン,リスペリドン錠２「ＭＥＥＫ」,3,,,
1179038F2054,リスペリドン,リスペリドン錠２ｍｇ「ＮＰ」,3,,,
1179038F2089,リスペリドン,リスペリドン錠２「オーハラ」,3,,,
1179038F2097,リスペリドン,リスペリドン錠２ｍｇ「サワイ」,3,,,
1179038F2119,リスペリドン,リスペリドン錠２ｍｇ「タイヨー」,3,,H31.3.31まで,
1179038F2127,リスペリドン,リスペリドン錠２ｍｇ「トーワ」,3,,,
1179038F2135,リスペリドン,リスペリドン錠２ｍｇ「日医工」,3,,,
1179038F2151,リスペリドン,リスペリドン錠２ｍｇ「ヨシトミ」,3,,,
1179038F2178,リスペリドン,リスペリドン錠２ｍｇ「タカタ」,3,,,
1179038F2194,リスペリドン,リスペリドン錠２ｍｇ「ファイザー」,3,,,
1179038F3018,リスペリドン,リスペリドン３ｍｇ錠,3,,,
1179038F3026,リスペリドン,リスパダール錠３ｍｇ,2,,,
1179038F3034,リスペリドン,リスペリドン錠３ｍｇ「アメル」,3,,,
1179038F3042,リスペリドン,リスペリドン錠３「オーハラ」,3,,,
1179038F3050,リスペリドン,リスペリドン錠３ｍｇ「タイヨー」,3,,H31.3.31まで,
1179038F3069,リスペリドン,リスペリドン錠３ｍｇ「ＮＰ」,3,,,
1179038F3085,リスペリドン,リスペリドン錠３ｍｇ「サワイ」,3,,,
1179038F3107,リスペリドン,リスペリドン錠３ｍｇ「タカタ」,3,,,
1179038F3115,リスペリドン,リスペリドン錠３ｍｇ「ヨシトミ」,3,,,
1179038F3123,リスペリドン,リスペリドン錠３ｍｇ「トーワ」,3,,,
1179038F3131,リスペリドン,リスペリドン錠３「ＭＥＥＫ」,3,,,
1179038F3158,リスペリドン,リスペリドン錠３ｍｇ「日医工」,3,,,
1179038F3166,リスペリドン,リスペリドン錠３ｍｇ「ＣＨ」,3,,,
1179038F3182,リスペリドン,リスペリドン錠３ｍｇ「ファイザー」,3,,,
1179038F4022,リスペリドン,リスペリドン錠０．５ｍｇ「ＮＰ」,3,,,
1179038F4049,リスペリドン,リスペリドン錠０．５ｍｇ「ヨシトミ」,3,,,
1179038F4057,リスペリドン,リスペリドン錠０．５ｍｇ「アメル」,3,,,
1179038F4065,リスペリドン,リスペリドン錠０．５ｍｇ「クニヒロ」,3,,,
1179038F4073,リスペリドン,リスペリドン錠０．５「ＭＥＥＫ」,3,,,
1179038F4090,リスペリドン,リスペリドン錠０．５ｍｇ「ファイザー」,3,,,
1179038F5029,リスペリドン,リスパダールＯＤ錠１ｍｇ,2,,,
1179038F5037,リスペリドン,リスペリドンＯＤ錠１ｍｇ「サワイ」,3,,,
1179038F5045,リスペリドン,リスペリドンＯＤ錠１ｍｇ「アメル」,3,,,
1179038F5053,リスペリドン,リスペリドンＯＤ錠１ｍｇ「タカタ」,3,,,
1179038F5061,リスペリドン,リスペリドンＯＤ錠１ｍｇ「トーワ」,3,,,
1179038F5070,リスペリドン,リスペリドンＯＤ錠１ｍｇ「ヨシトミ」,3,,,
1179038F6017,リスペリドン,リスペリドン２ｍｇ錠（２）,3,,,
1179038F6025,リスペリドン,リスパダールＯＤ錠２ｍｇ,2,,,
1179038F6033,リスペリドン,リスペリドンＯＤ錠２ｍｇ「サワイ」,3,,,
1179038F6050,リスペリドン,リスペリドンＯＤ錠２ｍｇ「タカタ」,3,,,
1179038F6068,リスペリドン,リスペリドンＯＤ錠２ｍｇ「トーワ」,3,,,
1179038F6076,リスペリドン,リスペリドンＯＤ錠２ｍｇ「ヨシトミ」,3,,,
1179038F7021,リスペリドン,リスパダールＯＤ錠０．５ｍｇ,2,,,
1179038F7030,リスペリドン,リスペリドンＯＤ錠０．５ｍｇ「タカタ」,3,,,
1179038F7048,リスペリドン,リスペリドンＯＤ錠０．５ｍｇ「サワイ」,3,,,
1179038F7056,リスペリドン,リスペリドンＯＤ錠０．５ｍｇ「トーワ」,3,,,
1179038F7064,リスペリドン,リスペリドンＯＤ錠０．５ｍｇ「アメル」,3,,,
1179038F7072,リスペリドン,リスペリドンＯＤ錠０．５ｍｇ「ヨシトミ」,3,,,
1179038F8028,リスペリドン,リスペリドンＯＤ錠３ｍｇ「タカタ」,3,,,
1179038F8036,リスペリドン,リスペリドンＯＤ錠３ｍｇ「サワイ」,3,,,
1179038F8044,リスペリドン,リスペリドンＯＤ錠３ｍｇ「トーワ」,3,,,
1179038F8052,リスペリドン,リスペリドンＯＤ錠３ｍｇ「アメル」,3,,,
1179038F8060,リスペリドン,リスペリドンＯＤ錠３ｍｇ「ヨシトミ」,3,,,
1179038S1021,リスペリドン,リスパダール内用液１ｍｇ／ｍＬ,2,,,
1179038S1030,リスペリドン,リスペリドン内用液１ｍｇ／ｍＬ「アメル」,3,,,
1179038S1056,リスペリドン,リスペリドン内用液１ｍｇ／ｍＬ「ヨシトミ」,3,,,
1179038S1064,リスペリドン,リスペリドン内用液１ｍｇ／ｍＬ「タカタ」,3,,,
1179038S1072,リスペリドン,リスペリドン内用液１ｍｇ／ｍＬ「トーワ」,3,,,
1179038S1080,リスペリドン,リスペリドン内用液１ｍｇ／ｍＬ「ＭＥＥＫ」,3,,,
1179038S2044,リスペリドン,リスペリドン内用液分包０．５ｍｇ「アメル」,3,,,
1179038S2052,リスペリドン,リスペリドン内用液分包０．５ｍｇ「日医工」,3,,,
1179038S2060,リスペリドン,リスペリドン内用液０．５ｍｇ分包「ファイザー」,3,,,
1179038S3024,リスペリドン,リスペリドン内用液分包１ｍｇ「アメル」,3,,,
1179038S3059,リスペリドン,リスペリドン内用液分包１ｍｇ「日医工」,3,,,
1179038S3067,リスペリドン,リスペリドン内用液１ｍｇ分包「ファイザー」,3,,,
1179038S4047,リスペリドン,リスペリドン内用液分包２ｍｇ「アメル」,3,,,
1179038S4055,リスペリドン,リスペリドン内用液分包２ｍｇ「日医工」,3,,,
1179038S4063,リスペリドン,リスペリドン内用液２ｍｇ分包「ファイザー」,3,,,
1179038S5027,リスペリドン,リスペリドン内用液分包３ｍｇ「アメル」,3,,,
1179038S5043,リスペリドン,リスペリドン内用液分包３ｍｇ「日医工」,3,,,
1179038S5051,リスペリドン,リスペリドン内用液３ｍｇ分包「ファイザー」,3,,,
1179039F1028,フルボキサミンマレイン酸塩,デプロメール錠２５,2,,,
1179039F1036,フルボキサミンマレイン酸塩,ルボックス錠２５,2,,,
