基準番号（ＨＯＴ番号）,処方用番号（ＨＯＴ７）,会社識別用番号,調剤用番号,物流用番号,ＪＡＮコード,薬価基準収載医薬品コード,個別医薬品コード,レセプト電算処理システムコード（１）,レセプト電算処理システムコード（２）,告示名称,販売名,レセプト電算処理システム医薬品名,規格単位,包装形態,包装単位数,包装単位単位,包装総量数,包装総量単位,区分,製造会社,販売会社,更新区分,更新年月日
103189801,1031898,01,,,,2171014G1097,2171014G1097,612170692,,ニフェスロー錠１０ｍｇ,,ニフェスロー錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,共和薬工,1,20011214
103191101,1031911,01,,,,2171014G1127,2171014G1127,612170698,,ニレーナＬ錠１０ｍｇ,,ニレーナＬ錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,三和化学,1,20011214
103192801,1031928,01,,,,2171014G1143,2171014G1143,610406218,,ニフェラートＬ錠１０,,ニフェラートＬ錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,大正薬工,1,20020320
103192802,1031928,02,,,,2171014G1143,2171014G1143,610406218,,ニフェラートＬ錠１０,,ニフェラートＬ錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,日清キョーリン,1,20011214
103193501,1031935,01,,,,2171014G1151,2171014G1151,610406284,,ヘルラートＬ錠１０,,ヘルラートＬ錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,アズウェル,1,20011214
103194202,1031942,02,,,,2171014G1186,2171014G1186,610412080,,シオペルミンＬ錠１０,,シオペルミンＬ錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,帝三製薬,1,20011214
103194203,1031942,03,,,,2171014G1186,2171014G1186,610412080,,シオペルミンＬ錠１０,,シオペルミンＬ錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,シオノケミカル,1,20011214
103195901,1031959,01,,,,2171014G1194,2171014G1194,610433041,,キサラートＬ錠１０ｍｇ,,キサラートＬ錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,日本ヘキサル,1,20011214
103196601,1031966,01,,,,2171014G2026,2171014G2026,612170540,,アダラートＬ錠２０ｍｇ,,アダラートＬ錠２０ｍｇ,２０ｍｇ１錠,,,,,,内,,バイエル,1,20011214
103197301,1031973,01,,,,2171014G2034,2171014G2034,612170671,,アテネラートＬ錠２０ｍｇ,,アテネラートＬ錠２０ｍｇ,２０ｍｇ１錠,,,,,,内,,科研製薬,1,20011214
103197303,1031973,03,,,,2171014G2034,2171014G2034,612170671,,アテネラートＬ錠２０ｍｇ,,アテネラートＬ錠２０ｍｇ,２０ｍｇ１錠,,,,,,内,,東洋ファルマー,1,20011214
103198001,1031980,01,,,,2171014G2042,2171014G2042,612170673,,アロトップＬ錠２０,,アロトップＬ錠　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,沢井製薬,1,20011214
103199701,1031997,01,,,,2171014G2050,2171014G2050,612170677,,カサンミルＳ錠２０,,カサンミルＳ錠　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,全星薬工,1,20011214
103200001,1032000,01,,,,2171014G2069,2171014G2069,612170679,,カルジオルフトＬ錠２０,,カルジオルフトＬ錠　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,テイコクＭ,1,20011214
103200002,1032000,02,,,,2171014G2069,2171014G2069,612170679,,カルジオルフトＬ錠２０,,カルジオルフトＬ錠　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,竹島製薬,1,20011214
103201701,1032017,01,,,,2171014G2077,2171014G2077,612170681,,コバラート錠,,コバラート錠　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,ナガセ,1,20011214
103201702,1032017,02,,,,2171014G2077,2171014G2077,612170681,,コバラート錠,,コバラート錠　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,小林化工,1,20011214
103201704,1032017,04,,,,2171014G2077,2171014G2077,612170681,,コバラート錠,,コバラート錠　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,メルクホエイ,1,20020320
103202401,1032024,01,,,,2171014G2085,2171014G2085,612170682,,コリネールＬ錠,,コリネールＬ錠　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,日医工,1,20011214
103203101,1032031,01,,,,2171014G2093,2171014G2093,612170689,,トーワラートＬ錠,,トーワラートＬ錠　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,東和薬品,1,20011214
103204801,1032048,01,,,,2171014G2107,2171014G2107,612170693,,ニフェスロー錠２０ｍｇ,,ニフェスロー錠２０ｍｇ,２０ｍｇ１錠,,,,,,内,,共和薬工,1,20011214
103206201,1032062,01,,,,2171014G2131,2171014G2131,612170699,,ニレーナＬ錠２０ｍｇ,,ニレーナＬ錠２０ｍｇ,２０ｍｇ１錠,,,,,,内,,三和化学,1,20011214
103207901,1032079,01,,,,2171014G2140,2171014G2140,612170703,,ヘルラートＬ錠２０,,ヘルラートＬ錠　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,アズウェル,1,20011214
103208601,1032086,01,,,,2171014G2158,2171014G2158,612170704,,メノプリジンＬ錠２０,,メノプリジンＬ錠　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,マルコ,1,20011214
103209301,1032093,01,,,,2171014G2166,2171014G2166,612170706,,ラミタレートＬ錠２０ｍｇ,,ラミタレートＬ錠２０ｍｇ,２０ｍｇ１錠,,,,,,内,,科薬,1,20011214
103209302,1032093,02,,,,2171014G2166,2171014G2166,612170706,,ラミタレートＬ錠２０ｍｇ,,ラミタレートＬ錠２０ｍｇ,２０ｍｇ１錠,,,,,,内,,大洋薬工（岐阜）,1,20011214
103210902,1032109,02,,,,2171014G2174,2171014G2174,610406101,,クノラミンＬ錠２０ｍｇ,,クノラミンＬ錠２０ｍｇ,２０ｍｇ１錠,,,,,,内,,日本薬工,1,20011214
103211601,1032116,01,,,,2171014G2182,2171014G2182,610406219,,ニフェラートＬ錠２０,,ニフェラートＬ錠　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,大正薬工,1,20020320
103211602,1032116,02,,,,2171014G2182,2171014G2182,610406219,,ニフェラートＬ錠２０,,ニフェラートＬ錠　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,日清キョーリン,1,20011214
103212301,1032123,01,,,,2171014G2204,2171014G2204,610412066,,コバニフェートＬ錠２０ｍｇ,,コバニフェートＬ錠２０ｍｇ,２０ｍｇ１錠,,,,,,内,,小林薬学,1,20011214
103213002,1032130,02,,,,2171014G2212,2171014G2212,610412081,,シオペルミンＬ錠２０,,シオペルミンＬ錠　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,帝三製薬,1,20011214
103213003,1032130,03,,,,2171014G2212,2171014G2212,610412081,,シオペルミンＬ錠２０,,シオペルミンＬ錠　２０ｍｇ,２０ｍｇ１錠,,,,,,内,,シオノケミカル,1,20011214
103214701,1032147,01,,,,2171014G2220,2171014G2220,610433042,,キサラートＬ錠２０ｍｇ,,キサラートＬ錠２０ｍｇ,２０ｍｇ１錠,,,,,,内,,日本ヘキサル,1,20011214
103215401,1032154,01,,,,2171014G3022,2171014G3022,610421320,,アダラートＣＲ錠１０ｍｇ,,アダラートＣＲ錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,バイエル,1,20011214
103216101,1032161,01,,,,2171014G4029,2171014G4029,610421321,,アダラートＣＲ錠２０ｍｇ,,アダラートＣＲ錠２０ｍｇ,２０ｍｇ１錠,,,,,,内,,バイエル,1,20011214
103217801,1032178,01,,,,2171014G5025,2171014G5025,610421322,,アダラートＣＲ錠４０ｍｇ,,アダラートＣＲ錠４０ｍｇ,４０ｍｇ１錠,,,,,,内,,バイエル,1,20011214
103218501,1032185,01,,,,2171014M1031,2171014M1031,612170441,,アダラート５,,アダラート　５ｍｇ,５ｍｇ１カプセル,,,,,,内,,バイエル,1,20011214
103219201,1032192,01,,,,2171014M1058,2171014M1058,612170549,,アロニクスＳ－５,,アロニクスＳ　５ｍｇ,５ｍｇ１カプセル,,,,,,内,,沢井製薬,1,20011214
103220802,1032208,02,,,,2171014M1074,2171014M1074,612170458,,セパミットカプセル５,,セパミットカプセル　５ｍｇ,５ｍｇ１カプセル,,,,,,内,,日本オルガノン,1,20011214
103221501,1032215,01,,,,2171014M1082,2171014M1082,612170341,,ヘルラート・ミニ,,ヘルラート・ミニ　５ｍｇ,５ｍｇ１カプセル,,,,,,内,,アズウェル,1,20011214
103222201,1032222,01,,,,2171014M1090,2171014M1090,612170381,,ミルファジン,,ミルファジン　５ｍｇ,５ｍｇ１カプセル,,,,,,内,,日本ケミファ,1,20011214
103224601,1032246,01,,,,2171014M2038,2171014M2038,612170012,,アタナールカプセル,,アタナールカプセル　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,沢井製薬,1,20011214
103225301,1032253,01,,,,2171014M2046,2171014M2046,612170014,,アダラート,,アダラート　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,バイエル,1,20011214
103226001,1032260,01,,,,2171014M2054,2171014M2054,612170039,,アンペクト,,アンペクト　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,日本新薬,1,20011214
103227701,1032277,01,,,,2171014M2062,2171014M2062,612170072,,カルジオブレンカプセル,,カルジオブレンカプセル　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,テイコクＭ,1,20011214
103228401,1032284,01,,,,2171014M2097,2171014M2097,612170095,,コロジレートカプセル,,コロジレートカプセル　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,メルクホエイ,1,20011214
103229102,1032291,02,,,,2171014M2100,2171014M2100,612170209,,セパミットカプセル,,セパミットカプセル　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,日本オルガノン,1,20011214
103230702,1032307,02,,,,2171014M2119,2171014M2119,612170212,,セレブレートカプセル,,セレブレートカプセル　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,三菱ウェルファーマ,1,20020320
103231401,1032314,01,,,,2171014M2127,2171014M2127,612170234,,トーワラートカプセル,,トーワラートカプセル　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,東和薬品,1,20011214
103233801,1032338,01,,,,2171014M2151,2171014M2151,612170543,,ニフェジピンカプセル（陽進）,,ニフェジピンカプセル（陽進）　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,日医工,1,20011214
103233803,1032338,03,,,,2171014M2151,2171014M2151,612170543,,ニフェジピンカプセル（陽進）,,ニフェジピンカプセル（陽進）　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,陽進堂,1,20011214
103234501,1032345,01,,,,2171014M2160,2171014M2160,612170471,,ニフェラート,,ニフェラート　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,大正薬工,1,20020320
103235201,1032352,01,,,,2171014M2178,2171014M2178,612170472,,ニフピンカプセル,,ニフピンカプセル　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,東洋ファルマー,1,20011214
103236903,1032369,03,,,,2171014M2194,2171014M2194,612170301,,パルピート,,パルピート　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,ファルマシア,1,20011214
103237601,1032376,01,,,,2171014M2208,2171014M2208,612170340,,ヘルラート,,ヘルラート　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,アズウェル,1,20011214
103238301,1032383,01,,,,2171014M2216,2171014M2216,612170371,,マリボロンカプセル,,マリボロンカプセル　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,辰巳化学,1,20011214
103239001,1032390,01,,,,2171014M2232,2171014M2232,612170416,,レマール,,レマール　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,杏林製薬,1,20011214
103240601,1032406,01,,,,2171014M2240,2171014M2240,612170424,,ロニアンカプセル,,ロニアンカプセル　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,日本化薬,1,20011214
103241302,1032413,02,,,,2171014N1029,2171014N1029,612170547,,セパミット－Ｒカプセル１０,,セパミットーＲカプセル　１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,日本オルガノン,1,20011214
103242001,1032420,01,,,,2171014N1037,2171014N1037,612170668,,エマベリンＬカプセル１０ｍｇ,,エマベリンＬカプセル１０ｍｇ,１０ｍｇ１カプセル,,,,,,内,,塩野義,1,20011214
103244402,1032444,02,,,,2171014N2025,2171014N2025,612170610,,セパミット－Ｒカプセル２０,,セパミットーＲカプセル　２０ｍｇ,２０ｍｇ１カプセル,,,,,,内,,日本オルガノン,1,20011214
103245101,1032451,01,,,,2171014N3021,2171014N3021,612170669,,エマベリンＬカプセル１５ｍｇ,,エマベリンＬカプセル１５ｍｇ,１５ｍｇ１カプセル,,,,,,内,,塩野義,1,20011214
103246801,1032468,01,,,,2171014N4028,2171014N4028,610406053,,エマベリンＬカプセル５ｍｇ,,エマベリンＬカプセル５ｍｇ,５ｍｇ１カプセル,,,,,,内,,塩野義,1,20011214
103247501,1032475,01,,,,2171016F1015,2171016F1066,612170652,,硝酸イソソルビド錠,,ニトロール錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,エーザイ,1,20011214
103247502,1032475,02,,,,2171016F1015,2171016F1058,612170651,,硝酸イソソルビド錠,,ニトロバイド錠５ｍｇ,５ｍｇ１錠,,,,,,内,,小林化工,1,20011214
103248201,1032482,01,,,,2171016F2011,2171016F2020,612170654,,硝酸イソソルビド錠,,カリアント錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,全星薬工,1,20011214
103248202,1032482,02,,,,2171016F2011,2171016F2038,612170655,,硝酸イソソルビド錠,,硝酸イソソルビド錠（ツルハラ）　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,鶴原製薬,1,20011214
103249901,1032499,01,,,,2171017F1028,2171017F1028,612170455,,シグマート錠２．５ｍｇ,,シグマート錠２．５ｍｇ,２．５ｍｇ１錠,,,,,,内,,中外製薬,1,20011214
103252901,1032529,01,,,,2171017F2024,2171017F2024,612170456,,シグマート錠５ｍｇ,,シグマート錠５ｍｇ,５ｍｇ１錠,,,,,,内,,中外製薬,1,20011214
103253601,1032536,01,,,,2171017F2032,2171017F2032,610407350,,ニコランマート錠,,ニコランマート錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,東和薬品,1,20011214
103253602,1032536,02,,,,2171017F2032,2171017F2032,610407350,,ニコランマート錠,,ニコランマート錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,日本ケミファ,1,20011214
103253603,1032536,03,,,,2171017F2032,2171017F2032,610407350,,ニコランマート錠,,ニコランマート錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,三菱ウェルファーマ,1,20011214
103258101,1032581,01,,,,2171017F2016,2171017F2083,610433059,,ニコランジル５ｍｇ錠,,ステンベルガー錠５ｍｇ,５ｍｇ１錠,,,,,,内,,陽進堂,1,20020530
103258101,1032581,01,,,,2171017F2083,2171017F2083,610433059,,ステンベルガー錠５ｍｇ,,ステンベルガー錠５ｍｇ,５ｍｇ１錠,,,,,,内,,陽進堂,1,20011214
103260401,1032604,01,,,,2171017F2016,2171017F2105,610433096,,ニコランジル５ｍｇ錠,,ニコランタ錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,沢井製薬,1,20020530
103260401,1032604,01,,,,2171017F2105,2171017F2105,610433096,,ニコランタ錠５,,ニコランタ錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,沢井製薬,1,20011214
103261101,1032611,01,,,,2171017F2016,2171017F2113,610433097,,ニコランジル５ｍｇ錠,,ニトルビン錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,大洋薬工（岐阜）,1,20020530
103261101,1032611,01,,,,2171017F2113,2171017F2113,610433097,,ニトルビン錠５,,ニトルビン錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,大洋薬工（岐阜）,1,20011214
103262801,1032628,01,,,,2171018K1020,2171018K1020,612170624,,ニトロペン錠,,ニトロペン錠　０．３ｍｇ,０．３ｍｇ１錠,,,,,,内,,日本化薬,1,20011214
103263501,1032635,01,,,,2171018K2027,2171018K2027,612170715,,バソレーターＲＢ２．５,,バソレーターＲＢ　２．５ｍｇ,２．５ｍｇ１錠,,,,,,内,,三和化学,1,20011214
103264201,1032642,01,,,,2171019F1027,2171019F1027,612170631,,バイミカード錠５ｍｇ,,バイミカード錠５ｍｇ,５ｍｇ１錠,,,,,,内,,バイエル,1,20011214
103264203,1032642,03,,,,2171019F1027,2171019F1027,612170631,,バイミカード錠５ｍｇ,,バイミカード錠５ｍｇ,５ｍｇ１錠,,,,,,内,,アストラゼネカ,1,20011214
103265901,1032659,01,,,,2171019F2023,2171019F2023,612170670,,バイミカード錠１０ｍｇ,,バイミカード錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,バイエル,1,20011214
103265903,1032659,03,,,,2171019F2023,2171019F2023,612170670,,バイミカード錠１０ｍｇ,,バイミカード錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,アストラゼネカ,1,20011214
103266601,1032666,01,,,,2171020F1020,2171020F1020,612170632,,バイロテンシン錠５ｍｇ,,バイロテンシン錠５ｍｇ,５ｍｇ１錠,,,,,,内,,三菱ウェルファーマ,1,20011214
103267301,1032673,01,,,,2171020F1038,2171020F1038,610412130,,ニトレナール錠５ｍｇ,,ニトレナール錠５ｍｇ,５ｍｇ１錠,,,,,,内,,日医工,1,20011214
103268001,1032680,01,,,,2171020F1046,2171020F1046,610412143,,バロテイン錠５,,バロテイン錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,沢井製薬,1,20011214
103269701,1032697,01,,,,2171020F1011,2171020F1062,610422033,,ニトレンジピン５ｍｇ錠,,イデバン錠５ｍｇ,５ｍｇ１錠,,,,,,内,,龍角散,1,20020530
103269701,1032697,01,,,,2171020F1062,2171020F1062,610422033,,イデバン錠５ｍｇ,,イデバン錠５ｍｇ,５ｍｇ１錠,,,,,,内,,龍角散,1,20011214
103270301,1032703,01,,,,2171020F1089,2171020F1089,610422064,,エレナール錠５ｍｇ,,エレナール錠５ｍｇ,５ｍｇ１錠,,,,,,内,,三和化学,1,20011214
103271001,1032710,01,,,,2171020F1011,2171020F1100,610422111,,ニトレンジピン５ｍｇ錠,,コバテンシン錠５ｍｇ,５ｍｇ１錠,,,,,,内,,小林化工,1,20020530
103271001,1032710,01,,,,2171020F1100,2171020F1100,610422111,,コバテンシン錠５ｍｇ,,コバテンシン錠５ｍｇ,５ｍｇ１錠,,,,,,内,,小林化工,1,20011214
103272701,1032727,01,,,,2171020F1119,2171020F1119,610422164,,ダウンテンシン錠５,,ダウンテンシン錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,竹島製薬,1,20011214
103273401,1032734,01,,,,2171020F1127,2171020F1127,610422203,,トルテンシン錠５ｍｇ,,トルテンシン錠５ｍｇ,５ｍｇ１錠,,,,,,内,,日本薬工,1,20011214
103274101,1032741,01,,,,2171020F1011,2171020F1143,610422209,,ニトレンジピン５ｍｇ錠,,ニトテロシン錠５ｍｇ,５ｍｇ１錠,,,,,,内,,長生堂,1,20020530
103274101,1032741,01,,,,2171020F1143,2171020F1143,610422209,,ニトテロシン錠５ｍｇ,,ニトテロシン錠５ｍｇ,５ｍｇ１錠,,,,,,内,,長生堂,1,20011214
103275801,1032758,01,,,,2171020F1151,2171020F1151,610422211,,ニトプレス錠５ｍｇ,,ニトプレス錠５ｍｇ,５ｍｇ１錠,,,,,,内,,共和薬工,1,20011214
103276501,1032765,01,,,,2171020F1011,2171020F1160,610422213,,ニトレンジピン５ｍｇ錠,,ニトレジック錠５ｍｇ,５ｍｇ１錠,,,,,,内,,アズウェル,1,20020530
103276501,1032765,01,,,,2171020F1160,2171020F1160,610422213,,ニトレジック錠５ｍｇ,,ニトレジック錠５ｍｇ,５ｍｇ１錠,,,,,,内,,アズウェル,1,20011214
103276502,1032765,02,,,,2171020F1011,2171020F1160,610422213,,ニトレンジピン５ｍｇ錠,,ニトレジック錠５ｍｇ,５ｍｇ１錠,,,,,,内,,大原薬工,1,20020530
103276502,1032765,02,,,,2171020F1160,2171020F1160,610422213,,ニトレジック錠５ｍｇ,,ニトレジック錠５ｍｇ,５ｍｇ１錠,,,,,,内,,大原薬工,1,20011214
103277201,1032772,01,,,,2171020F1011,2171020F1186,610422226,,ニトレンジピン５ｍｇ錠,,バイニロード錠５ｍｇ,５ｍｇ１錠,,,,,,内,,大正薬工,1,20020320
103278901,1032789,01,,,,2171020F1194,2171020F1194,610422231,,バロジピン錠５,,バロジピン錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,大洋薬工（岐阜）,1,20011214
103279601,1032796,01,,,,2171020F1208,2171020F1208,610422238,,ヒシロミン錠５,,ヒシロミン錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,菱山製薬,1,20011214
103280201,1032802,01,,,,2171020F2026,2171020F2026,612170633,,バイロテンシン錠１０ｍｇ,,バイロテンシン錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,三菱ウェルファーマ,1,20011214
103281901,1032819,01,,,,2171020F2034,2171020F2034,610412129,,ニトレナール錠１０ｍｇ,,ニトレナール錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,日医工,1,20011214
103282601,1032826,01,,,,2171020F2042,2171020F2042,610412142,,バロテイン錠１０,,バロテイン錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,沢井製薬,1,20011214
103283301,1032833,01,,,,2171020F2069,2171020F2069,610422032,,イデバン錠１０ｍｇ,,イデバン錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,龍角散,1,20011214
103284001,1032840,01,,,,2171020F2085,2171020F2085,610422063,,エレナール錠１０ｍｇ,,エレナール錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,三和化学,1,20011214
103285701,1032857,01,,,,2171020F2107,2171020F2107,610422110,,コバテンシン錠１０ｍｇ,,コバテンシン錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,小林化工,1,20011214
103286401,1032864,01,,,,2171020F2018,2171020F2123,610422163,,ニトレンジピン１０ｍｇ錠,,ダウンテンシン錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,竹島製薬,1,20020530
103286401,1032864,01,,,,2171020F2123,2171020F2123,610422163,,ダウンテンシン錠１０,,ダウンテンシン錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,竹島製薬,1,20011214
103287101,1032871,01,,,,2171020F2131,2171020F2131,610422202,,トルテンシン錠１０ｍｇ,,トルテンシン錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,日本薬工,1,20011214
103288801,1032888,01,,,,2171020F2018,2171020F2158,610422208,,ニトレンジピン１０ｍｇ錠,,ニトテロシン錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,長生堂,1,20020530
103288801,1032888,01,,,,2171020F2158,2171020F2158,610422208,,ニトテロシン錠１０ｍｇ,,ニトテロシン錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,長生堂,1,20011214
103289501,1032895,01,,,,2171020F2166,2171020F2166,610422210,,ニトプレス錠１０ｍｇ,,ニトプレス錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,共和薬工,1,20011214
103290101,1032901,01,,,,2171020F2018,2171020F2174,610422212,,ニトレンジピン１０ｍｇ錠,,ニトレジック錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,アズウェル,1,20020530
103290101,1032901,01,,,,2171020F2174,2171020F2174,610422212,,ニトレジック錠１０ｍｇ,,ニトレジック錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,アズウェル,1,20011214
103290102,1032901,02,,,,2171020F2018,2171020F2174,610422212,,ニトレンジピン１０ｍｇ錠,,ニトレジック錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,大原薬工,1,20020530
103290102,1032901,02,,,,2171020F2174,2171020F2174,610422212,,ニトレジック錠１０ｍｇ,,ニトレジック錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,大原薬工,1,20011214
103291801,1032918,01,,,,2171020F2018,2171020F2190,610422225,,ニトレンジピン１０ｍｇ錠,,バイニロード錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,大正薬工,1,20020320
103292501,1032925,01,,,,2171020F2204,2171020F2204,610422230,,バロジピン錠１０,,バロジピン錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,大洋薬工（岐阜）,1,20011214
103293201,1032932,01,,,,2171020F2018,2171020F2212,610422237,,ニトレンジピン１０ｍｇ錠,,ヒシロミン錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,菱山製薬,1,20020530
103293201,1032932,01,,,,2171020F2212,2171020F2212,610422237,,ヒシロミン錠１０,,ヒシロミン錠　１０ｍｇ,１０ｍｇ１錠,,,,,,内,,菱山製薬,1,20011214
103294901,1032949,01,,,,2171021F1024,2171021F1024,612170662,,コニール錠２,,コニール錠　２ｍｇ,２ｍｇ１錠,,,,,,内,,協和発酵,1,20011214
103295601,1032956,01,,,,2171021F2020,2171021F2020,612170663,,コニール錠４,,コニール錠　４ｍｇ,４ｍｇ１錠,,,,,,内,,協和発酵,1,20011214
103296301,1032963,01,,,,2171021F3027,2171021F3027,612170664,,コニール錠８,,コニール錠　８ｍｇ,８ｍｇ１錠,,,,,,内,,協和発酵,1,20011214
103297001,1032970,01,,,,2171022F1029,2171022F1029,612170709,,ノルバスク錠２．５ｍｇ,,ノルバスク錠２．５ｍｇ,２．５ｍｇ１錠,,,,,,内,,ファイザー,1,20011214
103298701,1032987,01,,,,2171022F1037,2171022F1037,612170707,,アムロジン錠２．５,,アムロジン錠　２．５ｍｇ,２．５ｍｇ１錠,,,,,,内,,住友製薬,1,20011214
103299401,1032994,01,,,,2171022F2025,2171022F2025,612170710,,ノルバスク錠５ｍｇ,,ノルバスク錠５ｍｇ,５ｍｇ１錠,,,,,,内,,ファイザー,1,20011214
103300701,1033007,01,,,,2171022F2033,2171022F2033,612170708,,アムロジン錠５,,アムロジン錠　５ｍｇ,５ｍｇ１錠,,,,,,内,,住友製薬,1,20011214
103301401,1033014,01,,,,2171023F1023,2171023F1023,612170716,,アイトロール錠１０ｍｇ,,アイトロール錠１０ｍｇ,１０ｍｇ１錠,,,,,,内,,山之内,1,20011214
103302101,1033021,01,,,,2171023F2020,2171023F2020,612170717,,アイトロール錠２０ｍｇ,,アイトロール錠２０ｍｇ,２０ｍｇ１錠,,,,,,内,,山之内,1,20011214
103303801,1033038,01,,,,2171402A1027,2171402A1027,642170001,,アジリース注,,アジリース注　０．５％２ｍＬ,０．５％２ｍＬ１管,,,,,,注,,イセイ,1,20011214
103305201,1033052,01,,,,2171402A1060,2171402A1060,642170005,,シフノス注,,シフノス注　０．５％２ｍＬ,０．５％２ｍＬ１管,,,,,,注,,マルコ,1,20011214
103307601,1033076,01,,,,2171402A1086,2171402A1086,642170008,,トーモル注,,トーモル注　０．５％２ｍＬ,０．５％２ｍＬ１管,,,,,,注,,東洋ファルマー,1,20011214
103308302,1033083,02,,,,2171402A1094,2171402A1094,642170009,,ペルサンチン注射液,,ペルサンチン注射液　０．５％２ｍＬ,０．５％２ｍＬ１管,,,,,,注,,日本ベーリンガー,1,20011214
103309001,1033090,01,,,,2171403A1021,2171403A1021,642140019,,ミリスロール注,,ミリスロール注　１ｍｇ２ｍＬ,１ｍｇ２ｍＬ１管,,,,,,注,,日本化薬,1,20011214
103310601,1033106,01,,,,2171403A2028,2171403A2028,642140020,,ミリスロール注,,ミリスロール注　５ｍｇ１０ｍＬ,５ｍｇ１０ｍＬ１管,,,,,,注,,日本化薬,1,20011214
103311301,1033113,01,,,,2171403A2036,2171403A2036,640406136,,バソレーター注,,バソレーター注　５ｍｇ１０ｍＬ,５ｍｇ１０ｍＬ１管,,,,,,注,,三和化学,1,20011214
103311301,1033113,01,,,,2171403A2044,2171403A2044,640454033,,バソレーター注５ｍｇ,,バソレーター注５ｍｇ　１０ｍＬ,５ｍｇ１０ｍＬ１管,,,,,,注,,三和化学,1,20011214
